Authors,Title,Year,Source title,Volume,Issue,Page start,Page end,Art. No.,Abstract,DOI,Document Type,Publication Stage,Open Access,Source,EID
Yoshizawa S.; Tsuruya Y.; Fukui Y.; Sawabe T.; Yokota A.; Kogure K.; Higgins M.; Carson J.; Thompson F.L.,"Vibrio jasicida sp. nov., a member of the Harveyi clade, isolated from marine animals (packhorse lobster, abalone and Atlantic salmon)",2012,International Journal of Systematic and Evolutionary Microbiology,62,8,1864,1870,,"Six isolates of a facultatively anaerobic bacterium were recovered in culture from marine invertebrates and vertebrates, including packhorse lobster (Jasus verreauxi), abalone (Haliotis sp.) and Atlantic salmon (Salmo salar), between 1994 and 2002. The bacteria were Gramnegative, rod-shaped and motile by means of more than one polar flagellum, oxidase-positive, catalase-positive and able to grow in the presence of 0.5-8.0% NaCl (optimum 3.0-6.0 %) and at 10-37 °C (optimum 25-30 °C). On the basis of 16S rRNA gene sequence analysis and multilocus sequence analysis (MLSA) using five loci (2443 bp; gyrB, pyrH, ftsZ, mreB and gapA), the closest phylogenetic neighbours of strain TCFB 0772T were the type strains of Vibrio communis (99.8 and 94.6% similarity, respectively), Vibrio owensii (99.8 and 94.1 %), Vibrio natriegens (99.4 and 88.8 %), Vibrio parahaemolyticus (99.4 and 90.3 %), Vibrio rotiferianus (99.2 and 94.4 %), Vibrio alginolyticus (99.1 and 89.3 %) and Vibrio campbellii (99.1 and 92.3 %). DNA-DNA hybridization confirmed that the six isolates constitute a unique taxon that is distinct from other known species of Vibrio. In addition, this taxon can be readily differentiated phenotypically from other Vibrio species. The six isolates therefore represent a novel species, for which the name Vibrio jasicida sp. nov. is proposed; the novel species is represented by the type strain TCFB 0772T (=JCM 16453T =LMG 25398T) (DNA G+C content 45.9 mol%) and reference strains TCFB 1977 (=JCM 16454) and TCFB 1000 (=JCM 16455). © 2012 IUMS.",10.1099/ijs.0.025916-0,Article,Final,,Scopus,2-s2.0-84857790651
Cummins S.F.; Tollenaere A.; Degnan B.M.; Croll R.P.,Molecular analysis of two FMRFamide-encoding transcripts expressed during the development of the tropical abalone haliotis asinina,2011,Journal of Comparative Neurology,519,10,2043,2059,,"FMRFamide-related peptides (FaRPs) are involved in numerous neural functions across the animal kingdom and serve as important models for understanding the evolution of neuropeptides. Gastropod molluscs have proved to be particularly useful foci for such studies, but the developmental expression of FaRPs and the evolution of specific transcripts for different peptides are unclear within the molluscs. Here we show that FaRPs are encoded by two transcripts that appear to be splice variants of a single gene in the abalone, Haliotis asinina, which represents the basal vetigastropods. Has-FMRF1 comprises 1,438 nucleotides and encodes a precursor protein of 329 amino acids that can potentially produce two copies of FLRFamide, one copy each of TLAGDSFLRFamide, QFYRIamide, SDPDLDDVIRASLLAYSLDDSPNN, and SVATAPVEAKAVEAGNKDIE, and 13 copies of FMRFamide. The second 1,241-nucleotide transcript, Has-FMRF2, encodes a 206-amino acid precursor protein with single copies of FLRFamide and FMRFamide along with such extended forms as NFGEPFLRFamide, FDSYEDKALRFamide, and NGWLHFamide, in addition to SDPGEDMLKSILLRGAPSNNGLQY and DTUDETTUNDNAHSRQ. Both transcripts are present early in life and are expressed in different but overlapping patterns within the developing larval nervous system. Mass spectrometry and immunocytochemistry demonstrate that FaRPs are cleaved from larger precursors and localize to the developing nervous system. Our results confirm previous evidence that FaRPs are expressed early and potentially play many roles during molluscan development and suggest that the last common ancestor to living gastropods used alternative splicing of an FMRFamide gene to generate a diversity of FaRPs in spatially restricted patterns in the nervous system. © 2011 Wiley-Liss, Inc.",10.1002/cne.22621,Article,Final,,Scopus,2-s2.0-79956272416
Hansen S.C.; Gosselin L.A.,"Do predators, handling stress or field acclimation periods influence the survivorship of hatchery-reared abalone Haliotis kamtschatkana outplanted into natural habitats?",2013,Aquatic Conservation: Marine and Freshwater Ecosystems,23,2,246,253,,"Northern abalone (Haliotis kamtschatkana) in British Columbia, Canada, are listed as endangered and are protected from fishing, yet their populations continue to decline. It is suspected that supplementation of wild populations with hatchery-reared abalone will be necessary for the recovery of this species. This study examines the magnitude, timing, and causes of post-outplanting mortality of hatchery-reared late-juvenile northern abalone. Abalone survivorship declined precipitously following outplanting, with 83% of abalone surviving 24 h after release and only 34% surviving 2 weeks in the wild. Handling, tagging, and temperature variations experienced during the outplanting procedure did not cause mortality. The majority of the abalone mortality in this study was attributable to predators. Additional factors accounted for only 1-2% mortality over 7 d. A 1-week acclimatization period within predator exclosures did not improve subsequent survival of outplants. These results demonstrate that the ouplanting of hatchery-reared abalone as a method of restoring wild populations of this endangered species is primarily constrained by high mortality during the first few days after outplanting, and that almost all of this early mortality is caused by predation. Predation mortality will therefore have to be overcome if outplanting of hatchery-reared juvenile abalone is to be an effective restoration strategy. © 2013 John Wiley & Sons, Ltd.",10.1002/aqc.2315,Article,Final,,Scopus,2-s2.0-84876411206
Cheng W.; Yu J.S.,"Effects of the dietary administration of sodium alginate on the immune responses and disease resistance of Taiwan abalone, Haliotis diversicolor supertexta.",2013,Fish & shellfish immunology,34,3,902,908,,"Sodium alginate extracted from brown algae was reported to enhance the immune response and resistance of fish and shrimp. In this study, survival rates of the abalone, Haliotis diversicolor supertexta, against Vibrio parahaemolyticus, and its non-specific immune parameters such as the total haemocyte count (THC), phenoloxidase (PO) activity, respiratory bursts, superoxide dismutase (SOD) activity, phagocytic activity, and clearance efficiency to V. parahaemolyticus by H. diversicolor supertexta were determined when abalone (4.5 ± 0.4 g) were fed diets containing sodium alginate at 0, 1.0, 2.0, and 3.0 g kg-1. Abalone fed a diet containing sodium alginate at 2.0 and 3.0 g kg-1 for 14 days and at 1.0 g kg-1 for 21 days had significantly higher survival rates than those fed the control diet after challenge with V. parahaemolyticus. The relative survival percentages of abalone fed the 1.0, 2.0, and 3.0 g kg-1 sodium alginate-containing diets for 14 and 21 days were 16.1%, 40.0%, and 48.0%, and 63.6%, 27.3% and 22.6%, respectively. The PO activity, respiratory bursts, SOD activity, and phagocytic activity and clearance efficiency of V. parahaemolyticus of abalone fed the sodium alginate-containing diets at 1.0, 2.0, and 3.0 g kg-1 were significantly higher than those of abalone fed the control diet for 14 days. After 21 days, the PO activity, respiratory bursts, SOD activity, and phagocytic activity and clearance efficiency of V. parahaemolyticus by abalone fed the sodium alginate-containing diet at 1.0 g kg-1 were significantly higher than those of abalone fed the other diets. It was concluded that sodium alginate can be used as an immunostimulant for abalone through dietary administration to enhance immune responses of abalone and resistance against V. parahaemolyticus, which were related to the dose and timing of administration. Copyright © 2013 Elsevier Ltd. All rights reserved.",10.1016/j.fsi.2012.12.020,Article,Final,,Scopus,2-s2.0-84880662012
Corbeil S.; Williams L.M.; Bergfeld J.; Crane M.S.J.,Abalone herpes virus stability in sea water and susceptibility to chemical disinfectants,2012,Aquaculture,326-329,,20,26,,"Experimental infection models using immersion and injection challenges were developed to investigate the effects of various physicochemical treatments on the abalone herpes virus (AbHV), an emerging virus causing viral ganglioneuritis in abalone in Australia. To determine stability at different temperatures, the virus was held at 4, 15, or 25 °C for 1, 5, and 12. days prior to immersion challenge of naïve abalone. Mortality curves indicated that when held for 1. day in sea water at 4 °C and 15 °C the virus remained infectious and highly pathogenic. In addition, the virus retained partial infectivity after 5. days held at 4 °C. Histological examination of abalone tissues following viral exposure confirmed the presence of lesions typical of abalone viral ganglioneuritis in animals showing morbidity signs. An additional experiment was performed to determine the virucidal efficacy of three disinfectants (calcium hypochlorite, Buffodine and the non-ionic surfactant Impress). The disinfectants were used at various doses and durations to treat AbHV prior to injection and immersion challenges. Results showed that Buffodine and the non-ionic surfactant Impress were effective at inactivating the virus with no detectable adverse effects on the abalone's health. In addition, calcium hypochlorite showed a virucidal effect when used on lower titres of virus prior to immersion challenge. © 2011 .",10.1016/j.aquaculture.2011.11.031,Article,Final,,Scopus,2-s2.0-84655162032
Eddy S.D.; Brown N.P.; Kling A.L.; Watts S.A.; Lawrence A.,"Growth of Juvenile Green Sea Urchins, Strongylocentrotus droebachiensis, Fed Formulated Feeds with Varying Protein Levels Compared with a Macroalgal Diet and a Commercial Abalone Feed",2012,Journal of the World Aquaculture Society,43,2,159,173,,"The effects of varying protein and carbohydrate levels in prepared diets on the somatic growth of juvenile green sea urchins, Strongylocentrotus droebachiensis, were examined. Ten diets were tested on 600 hatchery reared urchins (mean start weight = 0.11 g) for 6 mo with three replicate groups per diet. Nine of the diets were prepared specifically for urchins and varied in protein (16-40% protein) and carbohydrate (29-49% carbohydrate) levels. The other two diets consisted of a commercially available abalone diet and the kelp, Saccharina latissima. Weight measurements were carried out at 6-wk intervals, and at the end of the study urchins were individually weighed and a subsample from each treatment was analyzed for gonad weight and color. End weights after 6 mo ranged from 2.56 g for urchins fed the abalone diet to 6.11 g for urchins fed one of the prepared diets. Most of the prepared feeds outperformed kelp, and significant differences in growth were detected between some of the diets. In general, diets with lower protein levels (16-22% protein) and higher carbohydrate levels (>40% carbohydrate) produced the fastest growth. However, further diet refinement and/or use of finishing diets may be necessary to optimize gonad quality. © by the World Aquaculture Society 2012.",10.1111/j.1749-7345.2012.00560.x,Article,Final,,Scopus,2-s2.0-84859339553
Hale J.R.; Bouma J.V.; Vadopalas B.; Friedman C.S.,"Evaluation of passive integrated transponders for abalone: Tag placement, retention, and effect on survival",2012,Journal of Shellfish Research,31,3,789,794,,"Since 1969, abalone populations have declined globally more than 50%, with many species now recognized as threatened, endangered, or species of concern. As monitoring progresses and restoration efforts evolve to include population supplementation, a reliable and robust method of tagging individual abalone is needed. Current abalone tagging methods are unsatisfactory, particularly for long-term studies as a result of tag loss, shell erosion, and encrustation. Observing tag numbers of cryptically positioned abalone can be difficult. To obviate these issues, we evaluated passive integrated transponders (PITs) as tags for pinto abalone (Haliotis kamtschatkana kamtschatkana). We applied 9-mm PITs with cyanoacrylate glue to the dorsal exterior of the shell and to the ventral anterior of the shell, and by injection into the foot muscle of small adults (trial 1), and applied PITs to the ventral anterior of the shell of juveniles (trial 2). We subsequently tracked growth, survival, and tag retention over 15 mo in trial 1 and 6 mo in trial 2 in captivity. Among small adults (trial 1), differences in relative growth rate and survival were not significant. PIT retention by adhesion to the ventral anterior and dorsal exterior was significantly greater than injection into the foot in trial 1. Between controls and tagged animals in trial 2, differences in survival were not significant. There was no significant difference in ventral anterior tag retention between trial 1 and trial 2. Gluing PITs on the ventral anterior of the shell is a promising method because abalone quickly formed nacre over the tags, incorporating them into the shell, which does not appear to affect tag detection by the PIT reader. Trials are underway to characterize PIT retention in natural habitats, to determine tag longevity, and to use PITs to track adults reintroduced to aggregations.",10.2983/035.031.0324,Article,Final,,Scopus,2-s2.0-84866646439
Mateos H.T.; Lewandowski P.A.; Su X.Q.,The effect of replacing dietary fish oil with canola oil on fatty acid composition and expression of desaturase and elongase genes in Jade Tiger hybrid abalone,2012,Food Chemistry,131,4,1217,1222,,"This study investigates the effect of graded substitution of dietary fish oil (FO) with canola oil (CO) on fatty acid composition and expression of Δ-6 desaturase and elongase 2 genes in the muscle of Jade Tiger hybrid abalone. The control diet contained 1.5% FO supplement (0% CO). Four other diets contained FO/CO in ratios of 3:1 (CO 25%), 1:1 (CO 50%), 1:3 (CO 75%) and 100% CO. The result demonstrated that abalone fed the diets supplemented with 25% and 50% CO showed similarly high levels of total omega-3 polyunsaturated fatty acid (n-3 PUFA), eicosapentaenoic acid (EPA, 20:5n-3) and docosahexaenoic acid (DHA, 22:6n-3) (P < 0.05) as the 0% CO group. The highest levels of total PUFA and total monounsaturated fatty acids were found in the 100% CO group (P < 0.05). The results also showed that Δ-6 desaturase and elongase 2 gene expression was increased in a graded manner by increasing dietary CO (P < 0.05). It was concluded that replacement of FO by CO at the levels of 25-50% can improve the contents of health-benefiting EPA and DHA in abalone. © 2011 Elsevier Ltd. All rights reserved.",10.1016/j.foodchem.2011.09.107,Article,Final,,Scopus,2-s2.0-81855217510
Dyck M.; Roberts R.; Jeffs A.,"Assessing alternative grazing-tolerant algae for nursery culture of abalone, Haliotis iris",2011,Aquaculture,320,1-Feb,62,68,,"Feeding during the nursery stage of abalone aquaculture, from larval settlement to 10. mm in shell length (SL), is a major challenge in the intensification of abalone aquaculture. Commercial abalone nurseries typically settle larvae onto vertical plastic plates coated with algae that act as a settlement cue and an important post-settlement food source. It becomes increasingly difficult to maintain an adequate algal food supply as the abalones grow and for this purpose many nurseries use the alga, Ulvella lens, as it is a very effective settlement cue as well as offering a resilient food source for the developing abalones. However, juvenile abalones can deplete a film of diatoms on the plates before they are capable of ingesting U. lens, and once abalone reach ~. 5. mm SL the high grazing pressure may exceed even what U. lens can support, requiring nurseries to provide additional cultured algae or prematurely wean the juveniles onto manufactured diets. Three prospective microfilamentous algal species isolated from the tanks of a commercial abalone facility, were selected as potentially suitable nursery algae as they demonstrated resistance to intensive juvenile grazing pressure, displayed rapid vegetative growth, and could be triggered to mass sporulate as a means of rapidly coating nursery tanks. The current study involved two experiments and assessed the suitability of each species as a live algal feed for juvenile abalones compared to U. lens. These experiments measured: (1) ingestibility and grazing resistance of each alga against juvenile abalone 1-8. mm SL, and (2) the ability of each species to recover once grazers had been removed. Two algae (Ulvophyceae sp. 1 and 3) demonstrated the desirable properties of being easily grazed by abalones of a smaller size (average SL 2.33. mm and 2.20. mm respectively) than U. lens (2.89. mm) yet provide an algal film that is likely to be resilient and durable under grazing pressure. These algae also displayed significantly greater rates of recovery following grazing than U. lens (p < 0.01), an important attribute for restoring algal films in nursery systems between grazing events or between batches of juvenile abalones. The results of this study indicate that these novel algae have a combination of desirable characteristics for use in commercial abalone nurseries. Further experiments in commercial scale nursery systems should be pursued to assess the food value and performance of these species as a feed for juvenile abalones. © 2011 Elsevier B.V.",10.1016/j.aquaculture.2011.07.033,Article,Final,,Scopus,2-s2.0-80052910087
Dang V.T.; Li Y.; Speck P.; Benkendorff K.,"Effects of micro and macroalgal diet supplementations on growth and immunity of greenlip abalone, Haliotis laevigata",2011,Aquaculture,320,1-Feb,91,98,,"Algae contain nutrients and bioactive compounds, which can have effects on the growth and immunity of aquatic organisms. This study examines the effect of macroalgae Ulva lactuca and Spyridia filamentosa, cyanobacteria Arthrospira maxima, and microalgae Dunaliella salina on the growth and immunity of Haliotis laevigata, in comparison to a commercially formulated pellet. Over 12 weeks, U. lactuca or S. filamentosa produced the lowest growth rate, indicating lack of nutrients for abalone growth in a single macroalgae diet. Pellets supplemented with 10% A. maxima or D. salina resulted in increased abalone shell length (13.3 and 30.7%, respectively) and body weight (19.9 and 33.4%) over the pellet control diet. The impact of algal supplementation on hemolymph immunity was mainly represented by a drop in total hemocyte counts (THC) and some diet specific effects on superoxide anion and antibacterial activity against Vibrio anguillarum. No effect of diet was observed on phagocytosis, phenoloxidase, or antiviral activity against herpes simplex virus type 1. It is conceived that the humoral antimicrobial factors in abalone hemolymph are innately biosynthesized rather than dietary derived compounds. Nevertheless, concomitant with strong antiviral activity against HSV-1 in a lipophilic extract of U. lactuca and S. filamentosa, higher antiviral activity was detected in the digestive lipid extract of abalone fed U. lactuca (64.2% at 650 μg ml-1) or S. filamentosa (69.51%) compared to abalone fed pellets (47.42%) or pellets supplemented with A. maxima (46.3%) or D. salina (46%). This suggests that abalone may also derive some protection against oral pathogens by algal derived bioactive compounds. These results indicate that abalone growth rate could be optimized by A. maxima and D. salina supplementations, whereas U. lactuca and S. filamentosa could be useful supplements for abalone aquaculture, especially in areas with high risk of herpesvirus infection. © 2011 Elsevier B.V.",10.1016/j.aquaculture.2011.08.009,Article,Final,,Scopus,2-s2.0-80052889827
Bautista-Teruel M.N.; Koshio S.S.; Ishikawa M.,"Diet development and evaluation for juvenile abalone, Haliotis asinina Linne: Lipid and essential fatty acid levels",2011,Aquaculture,312,1-Apr,172,179,,"Experiments on diet development and evaluation for juvenile abalone, Haliotis asinina focusing on lipid and essential fatty acid (EFA) levels were conducted. Six isonitrogenous diets were formulated in Experiment 1 (E1) to contain 27% protein with lipid levels at 0, 2, 4, 6, 8, and 10%. Experiment 2 (E2) (EFA levels), used the optimum lipid level (3.59%) in E1 with EFA supplementation of 0.0, 0.2, 0.4, 0.8, and 1.6%. Abalone juveniles [mean initial weight and shell length of 0.60 ± 0.07. g and 14.70 ± 0.12. mm (E1)], [0.60 ± 0.16. g and 15.30 ± 0.73. mm (E2)] respectively, were fed these diets at 2-5% body weight in 3 replicates. Feeding trials in 90. days/experiment evaluated growth, survival, feed conversion ratio (FCR) and fatty acid composition in abalone tissues. Results showed significantly higher growth rates (ANOVA P < 0.05) with abalone fed diets with lipid levels of 2.2%, 3.6%, and 6.1% compared with those containing lipid levels of 7.6% and 9.8%. Abalone fed the lipid-free diet showed significantly the lowest growth rate among treatments. Break point analysis as a function of growth, showed optimum lipid requirement at 3.59%. Survival was high at 95-99% in both experiments. FCR values for D3 and D4 were significantly better compared to D2, D5 and D6 (E1) while no significant differences were found for D2-D6 for E2. Abalone body lipid increased with corresponding increase in dietary lipid. Addition of 18:2n-6, 18:3n-3, and n-3 HUFA showed significant improvement in weight gains up to 1.6% supplementation. Fatty acid composition of the lipid samples reflected those of the diets. Total lipid of abalone fed the lipid-free diet showed higher monoenes. Addition of EFA resulted in an increase in both n-3 and n-6 fatty acids. Lipid incorporation at 3.6% using a 1:1 ratio of CLO and SBO with EFA supplementation (1.6%) is best in juvenile abalone diet formulation. © 2010 Elsevier B.V.",10.1016/j.aquaculture.2011.01.004,Article,Final,,Scopus,2-s2.0-79651475154
Haddon M.; Helidoniotis F.,Legal minimum lengths and the management of abalone fisheries,2013,Journal of Shellfish Research,32,1,197,208,,"A management strategy evaluation framework was used to simulate multiple populations making up a management or quota zone for Australian blacklip abalone (Haliotis rubra). The simulation was conditioned on the properties of blacklip abalone and its fishery on the east coast of Tasmania. Abalone are well known for exhibiting spatial heterogeneity in their biological properties. Each population in the simulation was represented by a size-based population dynamics model and had biological properties of growth, maturation, emergence from crypsis, and mortality specific to each population; the range of these properties varies to different degrees in the different quota zones around Tasmania. The simulation was used to compare the effects of applying different legal minimum length (LML) regulations on the fishery. Because of spatial heterogeneity in growth, a single LML within a zone has always been a compromise between underprotecting some populations and overprotecting others. The simulation was used to determine the protection afforded the overall mature biomass and the variation likely among different populations, and how these populations then responded to exploitation. In addition, when setting an LML within a zone, an analysis was made, using the simulation, of the potential trade-offs between the total allowable catch (TAC), the number of abalone needed to take that TAC, the proportion of the mature biomass protected by the LML, and the stock depletion level after fishing with different LMLs but the same TAG.",10.2983/035.032.0126,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84877273699
Whitaker A.R.; Byrd B.F.,Boat-based foraging and discontinuous prehistoric red abalone exploitation along the California coast,2012,Journal of Anthropological Archaeology,31,2,196,214,,"Temporally and spatially discontinuous pulses of heavy prehistoric exploitation of red abalone (Haliotis rufescens) have been documented along the southern and central California coast. This article examines the very late (post-950. cal BP) appearance of numerous red abalone processing sites on the Monterey Peninsula in central California. We test three prominent explanations offered for the sudden onset of red abalone processing sites: trophic cascades resulting from human predation on sea otters, logistical foraging by inland residents, and changes in sea surface temperature. A trophic cascade appears to have occurred but does not fully explain the nature or timing of the phenomenon in the region. We present an alternative explanation that argues that intensive procurement of red abalone emerged at a time when both population pressure and social complexity increased greatly in central California. We argue that a new exploitation strategy-diving from boats-was employed to exploit a much larger portion of the red abalone habitat. This strategy entailed logistical forays by divers who worked new patches in tandem with boaters, gathered large quantities in a single foray, and then field processed them in bulk on the shore before transporting the meat to coastal residences. This strategy provided an additional source of food, and both tradable dried meat and numerous large shells that could be manufactured into ornaments and traded as decorative accoutrements. We conclude our discussion with a consideration of the factors that created such a discontinuous record of red abalone exploitation along the California coast. © 2011 Elsevier Inc.",10.1016/j.jaa.2011.12.001,Article,Final,,Scopus,2-s2.0-84857913452
Li N.; Zhang Z.; Zhang L.; Wang S.; Zou Z.; Wang G.; Wang Y.,"Insulin-like growth factor binding protein 7, a member of insulin-like growth factor signal pathway, involved in immune response of small abalone Haliotis diversicolor",2012,Fish and Shellfish Immunology,33,2,229,242,,"Insulin-like growth factor binding protein 7 (IGFBP7), the only member of the IGFBP superfamily that binds strongly to insulin, may have different functions from other IGFBPs. Unlike other IGFBPs, there is no knowledge available on aquatic invertebrate IGFBP7. In this study, a molluscan . IGFBP7 gene, . saIGFBP7, was cloned for the first time from the small abalone . Haliotis diversicolor. Its full-length cDNA sequence is 1812. bp, with a 720. bp open reading frame encoding a protein of 239 aa. The molecular mass of the deduced protein is approximately 25.37. kDa with an estimated pI of 5.00, and it shares highest 41% identity to IGFBP7 of . Amblyomma americanum. Analysis of conserved domains revealed the presence of an IGFBP N-terminal domain (IB), a kazal-type serine proteinase inhibitor domain (KI), and an immunoglobulin-like C2 domain (IgC2) in saIGFBP7. Furthermore, the 12 cysteine residues and the signature amino acid motif 'xCGCCxxC' which are characterized by the amino terminus region of the IGFBP superfamily are all presented in saIGFBP7. Quantitative real-time PCR and western blot were employed to investigate the tissue distribution of saIGFBP7, and its expression under bacterial challenge. The saIGFBP7 mRNA and protein could be detected in all examined tissues, with the highest expression level in hemocytes, higher expression level in gills, and was up-regulated in hemocytes and gills after bacterial injection. In addition, . saIGFBP7 mRNA transcripts were observed in a subset of the branchial epithelium and the nucleus of hemocytes using the . in situ hybridization method. Interestingly, saIGFBP7 was detected mainly in the goblet-like cell of the branchial epithelium by immunohistochemistry. These results suggested that saIGFBP7 was likely to be involved in a function associated with pathogenic infection and may play an important role in the adult abalone immune system. © 2012 Elsevier Ltd.",10.1016/j.fsi.2012.04.016,Article,Final,,Scopus,2-s2.0-84863218517
Timmins-Schiffman E.B.; Friedman C.S.; Metzger D.C.; White S.J.; Roberts S.B.,Genomic resource development for shellfish of conservation concern,2013,Molecular Ecology Resources,13,2,295,305,,"Effective conservation of threatened species depends on the ability to assess organism physiology and population demography. To develop genomic resources to better understand the dynamics of two ecologically vulnerable species in the Pacific Northwest of the United States, larval transcriptomes were sequenced for the pinto abalone, Haliotis kamtschatkana kamtschatkana, and the Olympia oyster, Ostrea lurida. Based on comparative species analysis the Ostrea lurida transcriptome (41 136 contigs) is relatively complete. These transcriptomes represent the first significant contribution to genomic resources for both species. Genes are described based on biological function with particular attention to those associated with temperature change, oxidative stress and immune function. In addition, transcriptome-derived genetic markers are provided. Together, these resources provide valuable tools for future studies aimed at conservation of Haliotis kamtschatkana kamtschatkana, Ostrea lurida and related species. © 2012 Blackwell Publishing Ltd.",10.1111/1755-0998.12052,Article,Final,,Scopus,2-s2.0-84873986749
Hannon C.; Officer R.A.; Le Dorven J.,Review of the technical challenges facing aquaculture of the European abalone Haliotis tuberculata in Ireland,2013,Aquaculture International,21,2,243,254,,"Insufficient supply of available market size abalone from the wild stocks has resulted in increasing efforts since the early 1990s to culture this valuable marine shellfish. Despite significant financial investment and the establishment and expansion of farms around Europe, the production of a saleable end product has remained undefined. The technical barriers to producing viable juvenile abalone spat still impair growth of the industry in Ireland. Critical developments required in the industry are identified. Uptake of these developments from research remains slow due to the trial-and-error approach taken by operators. Using technologies and procedures from producing countries and implementing them into Irish culture conditions will aid the development and expansion of the industry. © 2012 Springer Science+Business Media B.V.",10.1007/s10499-012-9584-7,Review,Final,,Scopus,2-s2.0-84878277324
Heinemann F.; Gummich M.; Radmacher M.; Fritz M.,Modification of CaCO3 precipitation rates by water-soluble nacre proteins,2011,Materials Science and Engineering C,31,2,99,105,,"Mineral growth in nacre and other CaCO3-containing biominerals is controlled by biopolymers. Water-soluble proteins were extracted from nacre of the sea snail Haliotis laevigata by dissolving the mineral phase with 6% acetic acid. The influence of this protein mixture on CaCO3 precipitation rates was investigated at different concentrations. A well-established assay for measuring the pH-value during CaCO3 precipitation with and without protein additives was extended by calculating maximum precipitation rates from the pH-values. It could be shown that precipitation rates are greatly influenced by the mixtures of water-soluble nacre proteins. At very low protein concentrations (0.02 μg/ml) a rate enhancement in comparison to the pure supersaturated calcium carbonate solution by a factor of 1.4 was observed. At higher protein concentrations, a strong inhibitory effect occurred, with total inhibition at concentrations of 1.0 μg/ml and higher. Two unspecific proteins (bovine serum albumin and lysozyme) showed little or no modification of precipitation rates. In vivo, the function of the strong inhibition of CaCO3 precipitation by nacre proteins at higher concentrations is presumably to prevent uncontrolled crystallization in the extrapallial fluid. The rate-enhancing capability of proteins at low concentrations may be explained by the presence of acidic and/or hydrophilic moieties. © 2010 Elsevier B.V. All rights reserved.",10.1016/j.msec.2010.08.005,Article,Final,,Scopus,2-s2.0-78650686061
Mateos H.T.; Lewandowski P.A.; Su X.Q.,The growth performance of Jade Tiger cultured abalone fed diets supplemented with fish oil and vegetable oils,2013,Journal of the Science of Food and Agriculture,93,6,1389,1396,,"Background: The effects of fish oil (FO) supplementation and the dietary replacement of FO with flaxseed oil (FlaxO) and canola oil (CO) on the growth of cultured abalone was investigated. The study involved three growth experiments: (E1) diets containing 0.5, 1.0, 1.5, 2.0 and 2.5% of FO, respectively; (E2) diets in which FO was serially replaced by 25, 50, 75 and 100% FlaxO, respectively; and (E3) diets in which FO was serially replaced by 25, 50, 75 and 100% CO, respectively. Results: In Experiment 1, abalone fed a diet supplemented with 1.5% FO showed a significantly higher (121.2 ± 1.1 mg day-1) daily growth rate of weight (DGRw) compared to control (70.1 ± 1.71 mg day-1). In Experiment 2, abalone fed 1.5% FO diet and diets containing 25-75% FlaxO showed no significant differences in DGRw. The diet containing 100% FlaxO showed significantly lower (63.3 ± 6.7 mg day-1) DGRw. In Experiment 3, abalone fed diets containing 25% and 50% CO showed similar DGRw as those fed a 1.5% FO diet. The diet containing 75% and 100% CO showed significantly lower (63.7 ± 5.0 to 95.4 ± 5.1 mg day-1) DGRw. Conclusion: Supplementation with 1.5% of dietary FO can improve growth performance in cultured abalone. It is feasible to replace 75% of dietary FO with FlaxO and 50% of dietary FO with CO, without negative effect on growth performance. © 2012 Society of Chemical Industry.",10.1002/jsfa.5905,Article,Final,,Scopus,2-s2.0-84875591849
Ko S.K.; Hur S.B.,Effects of microalgal species on the settlement and survival of haliotis discus hannai larvae,2012,Fisheries and Aquatic Sciences,14,4,339,345,,"Although culture techniques for the abalone Haliotis discus hannai are well known, mass culture of the benthic microalgae that are essential live food for the abalone larvae is still not practiced. This study was conducted to identify the microalgal species suitable for the growth of early larvae of H. discus hannai. The growth and attachment rates of 31 microalgal species were examined. Acrylic plates were used as the substrate. Among the 31 microalgal species, nine showing high growth and attachment rates were selected and tested for their dietary values via factors including settlement, metamorphosis, and survival rates of abalone larvae. Tetraselmis hazeni and Rhaphoneis sp. induced the highest settlement rate (65-69%) in abalone larvae. The metamorphosis rate was highest (57%) in larvae fed Rhaphoneis sp. and was also significantly higher in larvae fed Oscillatoria splendida (29%) and T. hazeni (22%) than in those fed other species. The highest survival rate of the larvae during the 15 days after metamorphosis was 67% in those fed Rhaphoneis sp., followed by T. hazeni (42%) and O. splendida (35%). In conclusion, Rhaphoneis sp. is the most suitable diatom for use as a live food for the culture of early larvae of H. discus hannai. In addition, T. hazeni and O. splendida are also potential species to be further developed and utilized in larval culture. © The Korean Society of Fisheries and Aquatic Science.",10.5657/FAS.2011.0339,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84930477588
