Authors,Title,Year,Source.Title,Volume,Issue,Start.Page,End.Page,Article.Number,Abstract,DOI
"Lesoway, MP; Page, LR",Growth and differentiation during delayed metamorphosis of feeding gastropod larvae: signatures of ancestry and innovation,2008,MARINE BIOLOGY,153,4,723,734,,"Extent of larval growth among marine invertebrates has potentially profound implications for performance by benthic recruits because body size influences many biological processes. Among gastropods, feeding larvae often attain larger size at metamorphic competence than non-feeding larvae of basal gastropod clades. Delay of metamorphosis can further influence size at recruitment if larvae continue to grow during the delay. Some caenogastopod larvae grow during delayed metamorphosis, but opisthobranch larvae do not. Data on larval growth of neritimorph gastropods are needed to help determine which of these growth patterns for planktotrophic gastropod larvae is more derived. We cultured planktotrophic larvae from all three major gastropod clades with feeding larvae through delays of metamorphosis of 3-10 weeks. Larvae of the caenogastropod Euspira lewisii and the euthyneurans Haminoea vesicula (Opisthobranchia) and Siphonaria denticulata (Pulmonata) conformed to previously described growth patterns for their respective major clades. Furthermore, the caenogastropod continued to lengthen the prototroch (ciliary band for swimming and feeding) and to differentiate prospective post-metamorphic structures (gill filaments and radular teeth) during delayed metamorphosis. Larvae of the neritimorph Nerita atramentosa arrested shell growth during delayed metamorphosis but the radula continued to elongate, a pattern most similar to that of non-feeding larvae of Haliotis, a vetigastropod genus. Character mapping on a phylogenetic hypothesis suggests that large larval size and capacity for continued growth during delayed metamorphosis, as exhibited by some caenogastropods, is a derived innovation among feeding gastropod larvae. This novelty may have facilitated post-metamorphic evolution of predatory feeding using a long proboscis.",10.1007/s00227-007-0849-z
"Stone, DAJ; Bansemer, MS; Currie, KL; Saunders, L; Harris, JO",INCREASED DIETARY PROTEIN IMPROVES THE COMMERCIAL PRODUCTION OF HYBRID ABALONE (HALIOTIS LAEVIGATA x HALIOTIS RUBRA),2016,JOURNAL OF SHELLFISH RESEARCH,35,3,695,701,,"Over the past decade, Australian abalone were produced using a range of commercially formulated grow-out diets with crude protein (CP) levels ranging from 27% to 30% throughout their production cycle. Recent research identified higher optimal dietary CP levels of greater than or equal to 35% for younger than 1-y-old abalone at higher water temperatures (20-22 degrees C). To validate the results of the laboratory-based research, the current trial was designed to investigate the effect of feeding two different commercially manufactured diets (standard-protein diet, 32% CP, versus a high-protein diet, 39% CP) to hybrid abalone (Haliotis laevigata x Haliotis rubra; initial weight: 3.10 g) on growth performance, feed utilization, and sales revenue under on-farm conditions. During this 18-mo trial, abalone were cultured using normal commercial practices over two summer periods at Great Southern Waters abalone farm (Indented Head, VIC, Australia). A significant improvement in specific growth rate (SGR) led to a 9% improvement in biomass gain for abalone fed with the high-protein diet. This improvement was achieved with no differences in survival, and minimal difference in feed input between diets. In addition, the feed conversion ratio of abalone fed with the high-protein feed was 7.1% superior to that of animals fed with the standard-protein diet. On the basis of a farm gate value of AUD35/kg abalone, for an additional feed input cost of AUD2/m(2) slab tank/y, a 9.5% increase in basic annual sales revenue (AUD44/m(2) slab tank/y) was achieved feeding the high-protein diet. In addition, due to an increased SGR by feeding the high-protein diet, the duration of a typical 3-y production cycle for hybrid abalone may be shortened by up to 3.4 mo. By adopting the high-protein diet, farmers may also harvest abalone sooner, and reduce exposure to one less summer. This may reduce heat-related mortalities and further improve productivity, and when combined with savings made with biomass and feed efficiency gains, a more than 10% improvement in productivity across the entire grow-out period for hybrid abalone may be achieved.",10.2983/035.035.0316
"Rojas-Figueroa, A; Saucedo, PE; Granados-Amores, A; Araya, R; Correa-Reyes, G; Guardiola, FA; Angulo, C","Modulation of systemic antioxidant and immune responses in red abalone (Haliotis rufescens) during the recovery phase of anesthesia, in preparation for grafting surgery",2025,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,301,,,,111800,"The use of anesthetic agents as pre-operatory treatment to pearl seeding surgery can be stressful to organisms and activate various physiological response mechanisms. This study evaluated some parameters of the systemic antioxidant and immune responses in red abalone (Haliotis rufescens) exposed to 0.25 mL L- 1 eugenol (EUB), 3.0 mL L- 1 phenoxyethanol (PEB) and CO2 at saturation, as well as in a control (CT) without anesthetic. Abalone were anesthetized for 45 min and, during the recovery stage, hemolymph samples were collected at 0.5, 1, 2 and 24 h. Total protein content (TP), superoxide dismutase (SOD), catalase (CAT) and myeloperoxidase (MPO) activity, as well as nitric oxide (NO) production, were evaluated in hemolymph cell-free fraction (HCF) and hemocytes lysate (HL). In addition, total hemocyte count (THC) was determined. In HCF, TP was significantly higher in abalone exposed to PEB than in the other treatments and CT at 0.5, 1 and 24 h. SOD activity in HCF was significantly higher in all treatments compared to the CT (1 h), while CAT and MPO activity was only significantly higher in abalone exposed to EUB compared to PEB at 1, 2 and 24 h. In the HL fraction, the percentage of SOD inhibition was significantly higher only in abalone anesthetized with EUB compared to the CT (0.5 h). These results suggest that the antioxidant activity of the species during the recovery phase from anesthesia was transient and restored after 24 h. Similarly, the immune response of H. rufescens at the systemic level was not altered by the anesthetics, suggesting that the species adequately tolerated the anesthesia process. This research provides evidence of the effects of anesthesia at the systemic level in red abalone for the proper selection of anesthetics for pearl culture.",10.1016/j.cbpa.2024.111800
"Moss, GA",Factors affecting settlement and early post-settlement survival of the New Zealand abalone Haliotis australis,1999,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,33,2,271,278,,"This paper describes studies on the settlement of the abalone Haliotis australis Gmelin. Ten-day-old H. australis larvae had a slower rate of settlement than 5-day-old larvae. A high proportion of veliger larvae had the ability to prolong the searching phase of settlement and delay metamorphosis, even over prepared settlement surfaces but radula development continued at a similar rate in both settled and swimming larvae. In any one batch of larvae settlement was slow and asynchronous and post-settlement survival was low. Light was shown to influence the swimming behaviour of larvae in settlement tanks, with more larvae swimming in the dark than in the light. The implications of these behaviours are discussed in relation to larval and postlarval energetics and feeding.",10.1080/00288330.1999.9516876
"Lee, KW; Kim, HS; Choi, DG; Jang, BI; Kim, HJ; Yun, A; Cho, SH; Min, BH; Kim, KD; Han, HS",Effects of Substitution of Fish Meal (FM) and Macroalgae (MA) with Soybean Meal and Rice Bran in a Commercial Juvenile Abalone (Haliotis duscus hannai) Diet on Growth Performance,2017,TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,17,3,519,526,,"The effects of fish meal (FM) and macroalgae (MA) substitution with fermented soybean meal and rice bran were tested on a commercial diet in juvenile abalone. Abalone (21600) individuals were distributed equally to four diet treatments. Four experimental diets were prepared: a Std diet, FM50, FM50+MA50 and FM50+MA100. The standard diet (Std) consists of FM (140 g/kg), fermented soybean meal (250 g/kg), corn gluten meal (34 g/kg), shrimp meal (30 g/kg), wheat flour (200 g/kg), dextrin (50 g/kg) and MA (250 g/kg). Undaria and Laminaria were also prepared. The feeding trial lasted for 16 weeks. Survival of abalone fed the formulated diets was higher than that of abalone fed the Undaria and Laminaria. Weight gain and specific growth rate of abalone fed the Std diet were higher than all other diets. Substitutability of the fermented soybean meal for FM seemed to be rather limited in the commercial diet for abalone farms. However, another 500 g/kg MA in the commercial diet could be substituted with rice bran as long as 500 g/kg MA were substituted with rice bran. The FM50+MA50 diet is the most recommendable for abalone farm in considering feed cost.",10.4194/1303-2712-v17_3_08
"Roussel, S; Caralp, C; Leblanc, C; Le Grand, F; Stiger-Pouvreau, V; Coulombet, C; Le Goïc, N; Huchette, S",Impact of nine macroalgal diets on growth and initial reproductive investment in juvenile abalone Haliotis tuberculata,2019,AQUACULTURE,513,,,,734385,"The commercial culture of Haliotis tuberculata has recently started in Europe. As abalone is herbivorous, the use of local collected algae as feed may appear advantageous. The nutritional value of eight monospecific seaweed diets was studied using Palmaria palmata (Rhodophyta), filamentous algae, mainly Gracilaria sp. (Rhodophyta), Enteromorpha sp. and Ulva Laura (Chlorophyta), together with Saccharin latissima, Saccorhiza polyschides, Laminaria digitata and Laminaria hyperborea (Ochrophyta, Phaeophyceae) and a mixed macroalgal diet. An integrative approach consisted in monitoring the seasonal composition changes of these algae in terms of protein, lipid, soluble carbohydrate, fatty acid and amino-acid contents, and to relate it to seasonal growth and reproduction investment during a large-scale experiment. Abalone and algae were studied for one year in commercial sea-cage structures. Abalone fed with monospecific diet using either P. palmata or S. latissima, and with mixed diet presented the best growth rate, muscle ratio and gonad development. Seasonal daily weight gain was mainly associated with n-3/n-6 ratio, soluble carbohydrate content and total protein content. In term of aminoacid contents, the daily weight gain was associated with free phenylalanine as well as isoleucine levels. Moreover, 90% of 2-years old abalone started gonad development but less than a quarter featured a fully matured gonad. The gonad development of H. tuberculata was mostly associated to total valine, methionine, leucine, arginine and isoleucine levels. The age of initial sexual maturity in H. tuberculata turned to be a highly plastic trait in response to different growth rates and algal diets. Even if P. palmata is the best option for growth performance, mixed diets should probably be preferred to a monospecific diet in order to avoid too high pressure on a single algal resource.",10.1016/j.aquaculture.2019.734385
"Montaño-Vargas, J; Viana, MT; D'Abramo, LR; Shimada, A; Vásquez-Peláez, C",Growth and energy utilization of juvenile pink abalone Haliotis corrugata fed diets containing different levels of protein and two starch:lipid ratios,2005,JOURNAL OF SHELLFISH RESEARCH,24,4,1179,1185,,"Juvenile pink abalone Hahotis corrugata (initial mean length = 10.7 +/- 0.3 mm; initial mean weight = 0.15 g) were Brown under laboratory conditions in an aerated flow-through seawater system at 21 +/- 1 degrees C. For 131 days, abalone were fed diets containing three different levels of protein (42%, 36% and 32%), each level containing two ranges of starch:lipid ratios (1.5-1.8 or 3.2-3.6). The gross energy content of the diets ranged from 4.26-3.68 kcal/g. Within a particular protein level, growth did not differ significantly. When dietary protein levels exceeded 32%, a trend of higher growth of abalone was observed for dietary treatments that contained lower levels of lipid (higher starch to lipid ratios). The amount of protein consumed daily for the 32%a dietary protein is apparently insufficient to meet requirements for energy and maximum growth. No notable diet-dependent differences in the proportional composition (dry weight) of the shell and the soft tissue, and the energy content of the soft tissue were observed. Daily food intake and consumed energy were significantly different among treatments, being inversely related to the calculated P:E ratios. The increased consumption may have been somewhat overestimated because of loss arising from lower water stability of the diets. Ammonia excretion ranged from 7.9-4.8 mu g NH(4)(+)/h /g abalone but was not significantly different among treatments except for the treatment containing 32% crude protein and a low carbohydrate: lipid ratio. Specific Dynamic Action (SDA) comprised nearly 50% of measured oxygen consumption and did not significantly differ among treatments. Respiration increased during the night showing a typical circadian pattern reported in Haliotis genera. Measured mucus production (lid not vary among treatments. Carbohydrate preferentially serves as the principal energy source and a consistent amount of dietary protein is also used as an energy source, regardless of dietary protein content. Within a developed energy budget, approximately 70% of the ingested energy was lost through feces. and approximately 25% of the ingested energy was metabolized, with 7% to 10% channeled to growth. A direct determination of available digestible energy was not possible because of the inability to collect sufficient feces to estimate fecal energy. The results suggest that practical diets should include levels of dietary protein that are approximately 35% protein to meet requirements for energy and maximum growth. In addition, carbohydrates seem to be the preferred energy source and lipid levels should be minimized to the extent that essential fatty acids requirements are met.",
"Huang, X; Guo, F; Ke, CH; Wang, WX",Responses of abalone Haliotis diversicolor to sublethal exposure of waterborne and dietary silver and cadmium,2010,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,73,6,1130,1137,,"In this study, we examined the chronic waterborne and dietary exposure of silver (Ag) and cadmium (Cd) to the abalone Haliotis diversicolor using various endpoints such as growth and feeding rates, metal body burden, subcellular distribution, and metallothionein (MT) concentration over a period of 7 weeks of exposure. The growth and feeding rates of abalones were inhibited during the early stage of exposure to different extents, but then recovered to nearly the control levels. A large portion of Ag was redistributed to organelles and metal-rich granules from the cellular debris fraction, whereas cellular debris and metallothionein-like protein were the dominant pools for the storage of Cd, which remained comparable during the exposure period. The MT concentrations were significantly elevated (in a dose-dependent manner) within the first 2 weeks of exposure, after which the MT concentrations started to decrease. All these results implied that abalones respond rapidly to metal exposure, but apparently developed subsequent acclimation. (C) 2010 Elsevier Inc. All rights reserved.",10.1016/j.ecoenv.2010.05.018
"Zhang, WB; Mai, KS; Xu, W; Tan, BP; Ai, QH; Liufu, ZG; Ma, HM; Wang, XJ","Interaction between vitamins A and D on growth and metabolic responses of abalone Haliotis discus hannai, Ino",2007,JOURNAL OF SHELLFISH RESEARCH,26,1,51,58,,"A 152-day growth experiment was conducted in a recirculated water system to investigate the interaction between vitamins A (retinol) and D (cholecalciferol) on growth and metabolic responses in abalone Haliotis discus hannai Ino. Triplicate groups of juvenile abalone (initial weight: 0.35 +/- 0.03 g; initial shell length: 11.31 +/- 0.25 mm) were fed to satiation one of 16 sernipurified diets containing 0, 1 x 10(3), 1 x 10(5), 1 x 10(6) IU/kg vitamin A and 0, 500, 1 x 10(3) 5 x 10(3) IU/kg vitamin D in a 4 X 4 factorial design. Abalone were weighed and shell-length measured on the 76th day and the 152nd day, respectively. The total specific growth rate (SGR) during the 152 days, neither the SGR in the first 76 days nor in the second 76 days, was significantly influenced by the interaction between vitamins A and D. Dietary vitamins A and D significantly stimulated viscera 25-hydroxyvitarnin D-3 [25(OH)D-3] and 1 alpha,25-dihydroxyvitamin D-3 [1 alpha,25(OH)(2)D-3]contents in a cooperative fashion. Dietary vitamin A generally increased the alkaline phosphatase (AKP) activity in viscera except the excessive supplement (1 x 10(6) IU/kg), which significantly decreased AKP activity. Dietary vitamin D significantly increased AKP activity. Contents of P, not Ca and Mg, in soft body increased with dietary vitamin D supplement. Dietary vitamin A significantly improved contents of lipid and retinol in soft body and viscera, respectively. Meanwhile, dietary vitamin D significantly increased contents of ash and cholecalciferol in soft body and viscera, respectively. Based on these results, interaction between vitamins A and D was expressed in various manners as different indicators were considered, though there was potential antagonism mechanism at molecular level between the two fat-soluble vitamins.",10.2983/0730-8000(2007)26[51:IBVAAD]2.0.CO;2
"Britz, PJ; Hecht, T","Effect of dietary protein and energy level on growth and body composition of South African abalone, Haliotis midae",1997,AQUACULTURE,156,3-Apr,195,210,,"The effect of dietary protein and energy level on growth rate, nutritional indices and body composition of two size classes of Haliotis midae was investigated. Diets were formulated to contain three levels of protein (24, 34 and 44%), each with three levels of fat (2, 6, and 10%), to produce diets with estimated protein energy (PE) ratios ranging from 14.5-32.0 mg/kJ. The rates of weight gain, nutritional indices and body composition of both the smaller (0.2-1.0 g) and larger (7.0-14.0 g) abalone were significantly affected by the levels of protein and energy in the diets. Moreover, the two size classes of abalone differed in their responses to the diets. Maximum growth was achieved at a higher dietary protein level in the larger abalone (44%) than the smaller abalone (34%). The protein content of the larger abalone soft tissue was higher (ca. 7%) than the smaller abalone. Irrespective of the lipid content, the percentage of protein deposited by the larger abalone was highest in those fed the 34 and 44% protein diets, whereas that of the smaller abalone was highest for the 24 and 34% protein diets. The condition factor (CF) of small abalone was significantly higher for those fed the 24% protein diets in comparison to those fed the 34 and 44% protein diets, whereas the reverse was found in the larger abalone. It was concluded that the larger abalone had a higher protein requirement than the smaller abalone. Diets containing the highest level of dietary fat (10%) produced significantly lower growth rates and efficiencies of protein deposition in comparison to abalone fed the diets containing 6 and 2% fat, however, these trends were more marked among the small abalone size class. In addition, the feed conversion ratio (FCR) of small abalone fed the 10% fat diets was consistently poorer, but this trend was not present among the larger abalone whose FCR improved with an increasing PE ratio. It was concluded that a dietary lipid level of 10% is too high for H. midae to maintain a maximal growth rate. Proximal analysis of abalone fed the experimental diets revealed that the PE ratio of the diet as well as abalone size significantly affected the carcass composition. (C) 1997 Elsevier Science B.V.",10.1016/S0044-8486(97)00090-2
"Sawatpeera, S; Kruatrachue, M; Sonchaeng, P; Upatham, S; Rojanasarampkit, T","Settlement and early growth of abalone larvae Haliotis asinina Linnaeus, in response to the presence of diatoms",2004,VELIGER,47,2,91,99,,"GABA (gamma-aminobutyric acid) of different concentrations (10(-6), 10(-5), 10(-4), 10(-3) M) was tested for its effects on the settlement response of abalone Haliotis asinina larvae of 48 hours old. The highest percentage (73.5%) of attachment was found in larvae reared in seawater containing 10(-6) M GABA. In addition, five benthic diatom species (Navicula sp. 1, Novicula sp. 2, Navicula sp. 3, Nitzschia sp. 1, and Nitzschia sp. 2) were isolated and maintained it Culture. The species were grown in small bowls and tested in settlement experiments with H. asinina larvae. Settlement was very high in 2-day-old larvae fed five species of chatorris (89.8-94.3%). Survival rates declined when the larvae were older (6-7 days). The highest percentages of(') metamorphosis and shell growth were found in larvae fed Navicula sp. 1, Nitzschia sp. 2, and Navicula sp. 1. A flow-through system in large fiberglass tanks was developed to compare growth and survival of postlarvae reared On diatoms, Navicula sp. 1, Navicula sp. 2, and Nitzschia sp. 1 for 120 days. The shell length (SL) and weight (W) of postlarvae were Measured once every 2 weeks. The best growth rate was obtained with postlarvae fed Nitzschia sp. 1 (SL 81.7 mum/day, W 96.7 mug/day) and Navicula sp. 2 (SL 75.0 mum/day, W 78.3 mug/day).",
"Viera, MD; de Vicose, GC; Fernández-Palacios, H; Izquierdo, M","Grow-out culture of abalone Haliotis tuberculata coccinea Reeve, fed land-based IMTA produced macroalgae, in a combined fish/abalone offshore mariculture system: effect of stocking density",2016,AQUACULTURE RESEARCH,47,1,71,81,,"Haliotis tuberculata coccinea has been identified as a target species for European aquaculture development, in order to fulfil the rising demand for abalone. The effects of different stocking densities on the growth performance, feed utilization and survival of two different initial size groups (30 and 40 mm) of abalones, during the final grow-out to cocktail/market size (45-60 mm), were determined over a 6-month period. Trials were performed in abalone cages installed in a commercial open-sea cages fish farm. Animals were fed the red algae Gracilaria cornea and the green one Ulva rigida, both obtained from a land-based integrated multi-trophic aquaculture system. Survival rates were very high (94-98%) regardless the density employed. Sustained high linear growth was recorded both in shell and weight. However, a 17-19% reduction in weight gain was obtained by doubling the initial stocking density, suggesting a higher competition for space or food. Nevertheless, the high growth performance (70-94 mu m day(-1); 250-372% weight gain) and survival attained, even at high densities, denoted the suitability of the offshore mariculture system as well as the biofilter produced macroalgae for grow-out culture of H. tuberculata coccinea that overall could reach cocktail/commercial size in only 18-22 months.",10.1111/are.12467
"Dieser, SA; Fessia, AS; Ferrari, MP; Raspanti, CG; Odierno, LM",Streptococcus uberis: In vitro biofilm production in response to carbohydrates and skim milk,2017,REVISTA ARGENTINA DE MICROBIOLOGIA,49,4,305,310,,"Streptococcus uberis has become one of the most important environmental pathogens associated with clinical and subclinical bovine mastitis. Biofilm confers to bacteria more resistance to physical and chemical agents as well as to different mechanisms of the innate immune system. The aim of this work was to evaluate the ability of in vitro biofilm production in 32 S. uberis isolates from bovine mastitis and identified by biochemical tests and subsequently confirmed by the amplification of the pauA gene. The isolates were cultivated in TMP broth and TMP broth with the addition of 0.5% glucose, 1% sucrose, 1% lactose or 0.5% skim milk in microtiter plates stained with crystal violet. We demonstrated that S. uberis isolated from bovine mastitis are able to produce biofilms in TMP broth and, also that biofilm formation by S. uberis can be significantly enhanced by the addition of 0.5% glucose or 1% sucrose to TMP broth. This may suggest that the carbohydrates in milk or within the ruminant gut might affect the growth mode of S. uberis. In addition, our results showed that in vitro biofilm production under different conditions of supplementation displays variation among the isolates and that each isolate shows a particular profile of biofilm production. This phenotypic heterogeneity in biofilm production exhibited by S. uberis could at least partly explain why this bacterium has the ability to adapt to different niches facilitating survival to diverse and stressful conditions. (C) 2017 AsociaciOn Argentina de Microbiologia. Published by Elsevier Espana, S.L.U.",10.1016/j.ram.2017.04.007
"Bathige, SDNK; Umasuthan, N; Whang, I; Lim, BS; Won, SH; Lee, J","Antibacterial activity and immune responses of a molluscan macrophage expressed gene-1 from disk abalone, Haliotis discus discus",2014,FISH & SHELLFISH IMMUNOLOGY,39,2,263,272,,"The membrane-attack complex/perforin (MACPF) domain-containing proteins play an important role in the innate immune response against invading microbial pathogens. In the current study, a member of the MACPF domain-containing proteins, macrophage expressed gene-1 (MPEG1) encoding 730 amino acids with the theoretical molecular mass of 79.6 kDa and an isoelectric point (pI) of 6.49 was characterized from disk abalone Haliotis discus discus (AbMPEG1). We found that the characteristic MACPF domain (val(131)-Tyr(348)) and transmembrane segment (Ala(669)-Ile(691)) of AbMPEG1 are located in the N- and C-terminal ends of the protein, respectively. Ortholog comparison revealed that AbMPEG1 has the highest sequence identity with its pink abalone counterpart, while sequences identities of greater than 90% were observed with MPEG1 members from other abalone species. Likewise, the furin cleavage site KRRRK was highly conserved in all abalone species, but not in other species investigated. We identified an intron-less genomic sequence within disk abalone AbMPEG1, which was similar to other mammalian, avian, and reptilian counterparts. Transcription factor binding sites, which are important for immune responses, were identified in the 5'-flanking region of AbMPEG1. qPCR revealed AbMPEG1 transcripts are present in every tissues examined, with the highest expression level occurring in mantle tissue. Significant up-regulation of AbMPEG1 transcript levels was observed in hemocytes and gill tissues following challenges with pathogens (Vibrio parahemolyticus, Listeria monocytogenes and viral hemorrhagic septicemia virus) as well as pathogen-associated molecular patterns (PAMPs: lipopolysaccharides and poly I:C immunostimulant). Finally, the antibacterial activity of the MACPF domain was characterized against Gram-negative and -positive bacteria using a recombinant peptide. Taken together, these results indicate that the biological significance of the AbMPEG1 gene includes a role in protecting disk abalone through the ability of AbMPEG1 to initiate an innate immune response upon pathogen invasion. (C) 2014 Elsevier Ltd. All rights reserved.",10.1016/j.fsi.2014.05.012
"Bathige, SDNK; Umasuthan, N; Godahewa, GI; Whang, I; Kim, C; Park, HC; Lee, J","Three novel clade B serine protease inhibitors from disk abalone, Haliotis discus discus: Molecular perspectives and responses to immune challenges and tissue injury",2015,FISH & SHELLFISH IMMUNOLOGY,45,2,334,341,,"Serine protease inhibitors (SERPINs) control cellular protease activity in order to maintain cellular homeostasis. The immune and inflammatory responses of invertebrate clade B SERPINs have not been widely reported. In the present study, three proteins with high similarity to clade B SERPINs, referred to as AbSERPIN-1, AbSERPIN-2 and AbSERPIN-3, were identified from disk abalone (Haliotis discus discus). While AbSERPIN-1 (399 aa) was of a typical size for this protein class, AbSERPIN-2 (506 aa) and AbSERPIN-3 (532 aa) were relatively larger. Bioinformatic analysis revealed the characteristic SERPIN domain in each AbSERPIN. In addition, the N-terminal region of both AbSERPIN-2 and AbSERPIN-3 contained a predicted low complexity region (LCR) and a signal peptide, suggesting that these proteins are secretory proteins and are, thus, novel peptides. Tertiary structural models of the AbSERPINs highlighted their structural and functional conservation. Ubiquitous expression of AbSERPIN transcripts was evaluated by quantitative real time PCR (qPCR) analysis in seven tissue types. AbSERPIN-1, AbSERPIN-2, and AbSERPIN-3 transcript levels were highest in mantle, hemocytes, and muscles, respectively. Temporal expression analysis revealed that AbSERPINs were significantly (P < 0.05) elevated in hemocytes during the early/middle stages following the injection of a bacterial pathogen (Vibrio parahaemolyticus or Listeria monocytogenes) or an immuno-stimulant (lipopolysaccharide). Moreover, mantle tissue injury led to significant changes in the temporal expression of AbSERPIN mRNA. Specifically, transcription of AbSERPIN-1 and AbSERPIN-3 was considerably up-regulated, while expression of AbSERPIN-2 was suppressed. These results suggest a potential role of AbSERPINs in response to pathogen invasion and tissue injury in disk abalone. (C) 2015 Elsevier Ltd. All rights reserved.",10.1016/j.fsi.2015.04.020
"Hadi, JA; Gutierrez, N; Alfaro, AC; Roberts, RD",Use of probiotic bacteria to improve growth and survivability of farmed New Zealand abalone (Haliotis iris),2014,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,48,3,405,415,,"The effects of two probiotic feeds containing two and three bacterial isolates were evaluated on the growth performance of New Zealand abalone (Haliotis iris). Probiotic bacteria were isolated from the guts of healthy adult abalone. The isolates were screened qualitatively and quantitatively according to their ability to hydrolyse nutrients (i.e. proteins, starch and alginate), produce acid and resist bile salts. Based on the screening results, we developed a multi-strain conglomerate of 2- and 3- probiotic bacterial strains that were supplemented into a commercial abalone feed to use in our experiments. The 2-probiotic conglomerate consisted of Exiguobacterium JHEb1 and Vibrio JH1, and the 3-probiotic conglomerate consisted of Exiguobacterium JHEb1, Vibrio JH1 and Enterococcus JHLDc. The probiotic feeding trial involved abalone juveniles (20-30 mm in maximum shell length). Both probiotic feeds significantly improved abalone growth compared to that of the unsupplemented feed. The 3-probiotic supplemented feed produced a significant shell length increase of 20.9%, a wet weight gain of 19.8% and a five-fold reduction in mortality compared to the controls. The 2-probiotic supplemented feed resulted in significant increases in shell length (15.4%) and reduced mortality (fivefold), but not in weight gain, compared to controls.",10.1080/00288330.2014.909857
"Fu, JH; Zhang, WB; Mai, KS; Feng, XN; Xu, W; Liufu, ZG; Tan, BP",Effects of dietary vitamin A on antioxidant responses of abalone Haliotis discus hannai Ino,2006,ACTA OCEANOLOGICA SINICA,25,5,141,150,,"A 240 d growth experiment was conducted in a re-circulated water system to investigate the effects of dietary vitamin A on growth and antioxidant responses of abalone Haliotis discus hannai Ino. Triplicate groups of juvenile abalone [initial mass was (0.96 +/- 0.02) g, shell length was (17.70 +/- 0.06) mm] were fed to satiation one of three semi-purified diets containing 0, 1 x 10(3), 1 x 10 6 IU vitamin A per kilogram diet, respectively. Results showed that the daily increment in shell length (DISL) of abalone in the treatment with 1 x 10(3) IU vitamin A per kilogram diet was significantly higher than that with 0 or 1 x 10(6) IU vitamin A per kilogram supplementation (P < 0.05). Vitamin A deficiency (0 IU/kg) significantly elevated the activities of superoxide dismutase (SOD), glutathione peroxidase (GPX) and glutathione reductase (GR) in the viscera of abalone (P < 0.05). In muscle, the effects of vitamin A deficiency on SOD and GPX activities were the same as those in viscera, however, the activity of GR significantly decreased (P < 0.05). Vitamin A deficiency significantly decreased the ratio of CAT to SOD (catalase/superoxide dismutase) in viscera (P < 0.05). Nevertheless, it significantly decreased the ratio of GR to GPX in muscle (P < 0.05). Compared with the supplement of 1 x 10(3) IU vitamin A per kilogram, excessive vitamin A (1 x 10(6) IU/kg) had no significant effects on the activities of CAT, SOD and glutathione-S-transferase (GST) (P > 0.05), but significantly elevated GPX and GR activities in viscera (P < 0. 05). In muscle, the activities of CAT, SOD, GPX, GST and GR were significantly decreased by the excessive dietary vitamin A supplement (P < 0.05). Compared with the supplement of 1 x 10(3) IU vitamin A per kilogram, vitamin A-excessive had no significant effect on the value of ratio of CAT to SOD either in viscera or in muscle (P > 0.05). The ratio of GR to GPX was significantly decreased in viscera, but significantly elevated in muscle in the vitamin A-excessive group (P < 0.05). In conclusion, optimum supplement of vitamin A (1 x 10(3) IU/kg) was beneficial for abalone to maintain maximum growth and antioxidant system. Hypo- or hyper-vitaminosis A would decrease growth and the efficiency of scavenging reactive oxygen species (ROS) of abalone.",
