Authors,Title,Year,Source Title,Volume,Issue,Start Page,End Page,Article Number,Abstract,DOI,ORCIDs,ISSN,eISSN,ISBN,Publication Date,DOI Link,Pubmed Id
"Bullon, N; Alfaro, AC; Hamid, N; Dezfooli, SM; Seyfoddin, A",Effect of Dietary Insect Meal and Grape Marc Inclusion on Flavor Volatile Compounds and Shell Color of Juvenile Abalone Haliotis iris,2023,AQUACULTURE NUTRITION,2023,,,,6628232,"Almost 60% of the fish meal produced globally is used in aquaculture feeds. Fish meal production relies on finite wild-marine resources and is considered as an unsustainable ingredient. Insect meal (IM) is considered a sustainable source with high levels of protein suitable for growth promotion. Grape marc (GM) is a waste byproduct of the winery industry rich in pigments with antioxidant capacity. However, the inclusion of both ingredients can affect the flavor of the meat of abalone and the color of the shell due to different nutritional profiles. The aim of this study was to evaluate the effect of the dietary inclusion of IM and GM on the flavor volatile compounds and shell color of the juvenile Haliotis iris in a 165-days feeding trial. Abalone were offered four experimental diets with different levels of IM and GM inclusion and a commercial diet (no IM or GM). Soft bodies of abalone were used to characterize volatile compounds using solid-phase microextraction gas chromatography-mass spectrometry, and color changes were analyzed in ground powder of abalone shells using color spectrophotometry 400-700 nm (visible). The results showed 18 volatile compounds significantly different among the dietary treatments. The inclusion of IM did not significantly affect the flavor volatile compounds detected, whereas the inclusion of GM reduced volatile compounds associated with lipid-peroxidation in abalone meat. The inclusion of IM and GM did not significantly affect the lightness nor the yellowness, blueness, redness, and greenness of the ground shells. The supplementation of abalone feeds with GM can help to reduce off-flavour compounds which may extend shelf-life of raw abalone meat.",10.1155/2023/6628232,"Bullon, Natalia/0000-0003-1284-6700",1353-5773,1365-2095,,Jul-18,http://dx.doi.org/10.1155/2023/6628232,37496745
"Jeong, SM; Gunathilaka, BE; Khosravi, S; Cho, MU; Kwak, I; Han, YS; Lee, SM","Effects of Sargassum horneri as a substitute for Undaria pinnatifida in high plant protein diet for juvenile Pacific abalone (Haliotis discus discus, Reeve 1846)",2023,AQUACULTURE REPORTS,30,,,,101607,"Sargassum horneri is an abundant seaweed causing golden tides on the southwestern coast of South Korea. Undaria pinnatifida is an edible and expensive seaweed conventionally used in abalone diets. The study was conducted to evaluate Sargassum horneri as a substitute for U. pinnatifida in high plant protein diets for juvenile Pacific abalone (Haliotis discus). Dried and ground U. pinnatifida and S. horneri were used for the experiment. Diets were formulated to contain 100 g kg-1 fish meal and 300 g kg-1 seaweed meal. Control diet (SA0) was prepared including 300 g kg-1 U. pinnatifida meal. Three other diets were designed to contain 100, 200, and 300 g kg-1 S. horneri (SA10, SA20, and SA30) by replacing U. pinnatifida meal from control. Triplicate groups of abalones stored in fifteen plastic baskets were hand-fed one of four experimental diets or dried U. pinnatifida once every other day for 16 weeks. Growth performance of abalone fed SA10 and SA20 diets were comparable to SA0 and U. pinnatifida groups. Hemolymph non-specific immune parameters were significantly higher in SA20 group compared to SA0 and U. pinnatifida groups (p < 0.05). Moisture and lipid levels in edible portions of abalone fed S. horneri diets were significantly higher than in control (p < 0.05). Water stability was higher in SA0 diet and gradually decreased with the increase of S. horneri meal in diets. After air exposure, abalone fed S. horneri diets exhibited higher survival than SA0 and U. pinnatifida groups. Therefore, S. horneri can be used to replace U. pinnatifida from abalone diets. The proper combination of U. pinnatifida and S. horneri meal in abalone diet containing a low level of FM appears to be approximately 100 and 200 g kg-1.",10.1016/j.aqrep.2023.101607,"Gunathilaka, Galinnawaththe Lekamalage Buddhi Eranga/0000-0002-0654-9980",2352-5134,,,JUN,http://dx.doi.org/10.1016/j.aqrep.2023.101607,
"ZIMMERFAUST, RK; TYRE, JE; MICHEL, WC; CASE, JF",CHEMICAL MEDIATION OF APPETITIVE FEEDING IN A MARINE DECAPOD CRUSTACEAN - THE IMPORTANCE OF SUPPRESSION AND SYNERGISM,1984,BIOLOGICAL BULLETIN,167,2,339,353,,"The California spiny lobster, Panulirus interruptus, failed to exhibit appetitive feeding or locomotion in response to a low MW fraction (< 1000 daltons) prepared from a sea water extract of muscle from abalone, a natural prey. This lack of response was caused by chemical suppressants, rather than by lack of stimulatory compounds. Excitatory responses were induced by single, low molecular weight compounds, but these responses were inhibited by suppressants which occur naturally in the muscle fraction. Amino and organic acids were found highly stimulatory to lobsters, but nucleotides and sugars were not. A mixture of monocarboxylic amino acids and dicarboxylic organic acids was much more effective in eliciting behavior than either of the constituents tested alone, at the same overall concentration. Mixtures which combined either ammonium or urea with amino or organic acids significantly reduced behavioral activity caused by these latter substances. Tests of single chemicals cannot always reliably predict the stimulatory properties of solutions, combining even as few as 2 or more compounds. The stimulatory properties of complex odorants, including prey extracts, are best assessed by fractionating and then combining and testing the fractions in bioassays of factorial design.",10.2307/1541281,,0006-3185,1939-8697,,,http://dx.doi.org/10.2307/1541281,29320248
"Badillo-Salas, CE; Valenzuela-Espinoza, E; González-Gómez, MA; Pares-Sierra, G; Ley-Lou, F; Garcia-Esquivel, Z",Comparative growth of Pacific oyster (Crassostrea gigas) postlarvae with microfeed and microalgal diets,2009,AQUACULTURE INTERNATIONAL,17,2,173,186,,"Two trials were carried out in the laboratory in order to assess the effect of microparticulated feed (F) and live (Thalassiosira pseudonana, M) diets on the growth of recently set (396 +/- A 13 mu m shell height) and 2 mm Crassostrea gigas postlarvae. Different proportions of M and F (100:0, 75:25, 50:50; 25:75, 0:100) were delivered in a single dose of 3 h d(-1) in trial 1. Dietary M:F proportions of 100:0, 50:50, and 0:100 were delivered as a single pulse of 8 h d(-1) (P1) or two pulses of 4 h(-1) (P2) in trial 2. Maximal daily M ration was 296 cells mu l(-1) d(-1) (trial 1), 150 M cells mu l(-1) d(-1) (trial 2), or their equivalent F dry weight. Shell height (SH), dry (DW), and organic weight (AFDW) were evaluated weekly. Oysters from trial 1 significantly increased their size after 28 days, and exhibited no significant dietary differences in terms of DW (1.21 +/- A 0.15 to 2.01 +/- A 0.28 mg) or AFDW (0.091 +/- A 0.022 to 0.166 +/- A 0.029 mg). Newly set postlarvae (trial 2) also exhibited significant growth after 25 days. No dietary differences were observed in trial 2, yet P2 oysters attained significantly higher shell heights (825-912 mu m) than P1 oysters (730-766 mu m) after 25 d. Pulse effects were marginally not significant in terms of AFDW and growth rate. Together, these findings showed that balanced microfeeds have a practical potential for the culture of early C. gigas postlarvae, when they are delivered in pulse-feeding schemes.",10.1007/s10499-008-9189-3,"Garcia-Esquivel, Zaul/0000-0002-2629-7995",0967-6120,1573-143X,,APR,http://dx.doi.org/10.1007/s10499-008-9189-3,
"Liu, C; Rao, WX; Cui, ZY; Chen, P; Lei, KK; Mai, KS; Zhang, WB","Comparative evaluation on the effects of dietary docosahexaenoic acid on growth performance, fatty acid profile and lipid metabolism in two sizes of abalone Haliotis discus hannai Ino",2023,AQUACULTURE,565,,,,739136,"A 93-day feeding trial was conducted to comparatively evaluate the effects of graded levels of dietary docosahexaenoic acid (DHA) (0.06%, 0.46%, 0.99%, 1.57%, 1.95% and 2.25%) on growth performance, fatty acid profile and lipid metabolism in two different sizes of abalone Haliotis discus hannai (initial body weight: 2.83 +/- 0.03 g and 26.81 +/- 0.17 g, respectively). Results showed that 0.99%-1.95% of dietary DHA contents significantly increased the weight gain rate (WGR) in large size of abalone (P < 0.05), while the WGR in small size of abalone was significantly increased by the 0.46%-0.99% of dietary DHA contents (P < 0.05). There was no significant difference in the survival of abalone among all the six groups (P > 0.05). Based on the WGR, the optimal dietary DHA content for large and small size abalone were estimated to be 1.32% and 0.88%, respectively. Dietary DHA supplementation significantly increased the activities of trypsin and lipase in the intestine, the content of n-ary sumation n-3 polyunsaturated fatty acids (PUFA) and n-ary sumation n-3/n-6 PUFA ratio in digestive gland in both sizes of abalone (P < 0.05). The total glyceride concentration in the cell-free hemolymph in two sizes of abalone was decreased. In large size of abalone, 1.95%-2.25% of dietary DHA reduced the lipid content in digestive gland. Lipogenic genes in the digestive gland, including sterol regulatory element binding protein-1 (srebp-1) and diacylglycerol acyltransferase, were up-regulated in the 0.46%-1.57% DHA group (P > 0.05). The mRNA expression levels of hormone sensitive lipase (hsl) and carnitine palmitoyl transferase-1 (cpt-1) of lipolytic genes in the digestive gland were significantly increased in the 0.46% and 0.99% DHA groups, respectively (P < 0.05). In the small size of abalone, the lipid content in digestive gland and soft body decreased significantly in the 1.95% and 2.25% DHA groups, respectively (P < 0.05). Lipogenic genes in the digestive gland, including srebp-1 and acetyl-CoA carboxylase, were significantly down-regulated in the 0.99%-1.95% DHA group (P < 0.05). Lipolytic genes in the digestive gland, including hsl and cpt-1, were not significantly different from the control group (P > 0.05). In conclusion, based on the WGR, the dietary DHA requirements for large and small size of abalone were estimated to be 1.32% and 0.88%, respectively. Dietary DHA reduced lipid deposition in both sizes of abalone by promoting lipid decomposition and inhibiting lipid synthesis.",10.1016/j.aquaculture.2022.739136,"Lei, keke/0000-0001-5493-8940",0044-8486,1873-5622,,Feb-25,http://dx.doi.org/10.1016/j.aquaculture.2022.739136,
"Cui, ZY; Liu, C; Rao, WX; Chen, P; Lei, KK; Mai, KS; Zhang, WB",Dietary phospholipids improve growth performance and change the lipid composition and volatile flavor compound profiles in the muscle of abalone Haliotis discus hannai by affecting the glycerophospholipid metabolism,2023,AQUACULTURE REPORTS,30,,,,101567,"A 106-day feeding trial was conducted to investigate the effects of dietary phospholipids on growth performance, volatile flavor compounds as well as the lipid composition in abalone Haliotis discus hannai. Abalones (initial weight: 16.19 +/- 0.16 g) were fed with graded levels of dietary phospholipids (0.10 %, 0.30 %, 0.69 %, 1.30 %, 1.83 % and 2.48 %). Results showed that weight gain rate (WGR) were highest in 1.83 % dietary phospholipids level. Based on the quadratic regression analysis for WGR, the optimal dietary phospholipids level for abalone was estimated to be 1.57 %. The contents of eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) in abalone muscle increased gradually with the increase of dietary phospholipids levels. A total of 25 volatile flavor compounds were detected in the muscle of abalone by gas chromatograph-ion mobility spectrometry (GC-IMS), including 9 aldehydes, 6 esters, 4 ketones, 3 alcohols and 3 hydrocarbons. The content of some volatile flavor compounds with pleasant aroma in the muscle of abalone increased significantly when fed with diets containing 1.83 % and 2.48 % of phospholipids. Lipidomics analysis showed that dietary phospholipids could affect the lipid composition in the muscle by reducing the synthesis and promoting the decomposition of phospholipids. Among 244 differential lipids identified by lipidomics, phosphatidylcholines (PCs) and phosphatidylethanolamines (PEs) were the main species, accounting for more than 50 % of them. Partial least squares regression (PLS-R) analysis showed that the changes of volatile flavor compounds in the muscle of abalone was strongly related to PCs and PEs. Altogether, the present study suggested that dietary phospholipids can not only improve the growth per-formance and nutritional value of abalone, but also have the potential to improve the flavor quality of abalone.",10.1016/j.aqrep.2023.101567,"Lei, keke/0000-0001-5493-8940",2352-5134,,,JUN,http://dx.doi.org/10.1016/j.aqrep.2023.101567,
"Roberts, RD; Lapworth, C; Barker, RJ",Effect of starvation on the growth and survival of post-larval abalone (Haliotis iris),2001,AQUACULTURE,200,3-Apr,323,338,,"The starvation tolerance of post-larval abalone (Haliotis iris) was determined by examining post-larval growth and survival after various periods of starvation. Competent larvae (10 days old at 16 degreesC) were induced to attach and metamorphose with 2 muM GABA. Post-larvae were either fed diatoms (Nitzschia longissima) or starved. In Experiment 1, post-larvae were starved immediately after metamorphosis for periods of 1, 2, 4, 8, 15, 20, 25 and 30 days. Starved post-larvae grew relatively well for several days after metamorphosis despite the absence of food (averages of 10.4 and 17.8 mum shell length (SL) per day after 8 days for two batches). Subsequent growth was minimal, averaging 1.7 and 0.7 mum day(-1) over 6-7 days for the two batches, There was no clear relationship between period of starvation and growth rate when fed. Mean daily growth rate over 3 weeks when fed ranged from similar to 15-22 mum day(-1). However, the duration of starvation did have a significant effect on survival. Survival of post-larvae fed after 1-2 days of starvation was 90-100% after 3 weeks of feeding. Longer starvation periods gave progressively lower survival and post-larvae starved for 30 days all died within a week of being fed. In Experiment 2, post larvae were fed for 3 weeks after metamorphosis, then starved for 0, 3, 7, 14 or 21 days. Growth rates of starved post-larvae averaged only 5-6 mum day(-1) in the first week (vs. 30 mum day(-1) in controls), and later declined to zero. Growth resumed within a week following return to food, but the 14- and 21-day starvation treatments took 2 weeks to reach growth rates comparable to controls. The no-starvation controls and the 3- and 7-day starvation treatments all had > 70% survival over 4 weeks after return to food. Survival in the 14- and 21-day starvation treatments was 15-20%, with almost all mortalities occurring in the first week after return to food. These data suggest that Haliotis iris post-larvae are relatively tolerant of starvation, so abalone farmers have a week or so to remedy food shortages before major post-larval mortality begins. (C) 2001 Elsevier Science BN. All rights reserved.",10.1016/S0044-8486(01)00531-2,,0044-8486,,,Sep-03,http://dx.doi.org/10.1016/S0044-8486(01)00531-2,
"Takami, H; Kawamura, T; Yamashita, Y",Development of polysaccharide degradation activity in postlarval abalone Haliotis discus hannai,1998,JOURNAL OF SHELLFISH RESEARCH,17,3,723,727,,"Changes in the activity of the digestive enzymes against carboxymethylcellulose (CMC), alginate, laminarin, and fucoidan in postlarval abalone Haliotis discus hannai were measured from 7 days after settlement (Day 7) to 46 days after settlement (Day 46) every 5-10 days. Shell length (SL) and protein per individual showed a rapid increase after Day 37. Enzyme activity was not detected on Day 7 (0.52 +/- 0.01 mm SL, mean +/- standard error) bur by Day 17 (0.97 +/- 0.02 mm SL), there was detectable activity from all enzymes. This indicates that a suite of enzymes for brown algal feeding is produced even by the postlarval stage. Changes in the total activity of CMCase, alginate lyase, and laminarinase showed a pattern similar to the growth rate, with a rapid increase observed after Day 37 (1.59 +/- 0.04 mm SL). However, specific activities did not show the marked changes evident in the total activities, suggesting that the rapid increase of total activities observed after Day 37 was mainly caused by increased production of digestive enzyme with growth. Despite the negligible contents of cellulose and alginate in food of postlarvae, Days 37 and 46 postlarvae showed strong enzyme activity against these polysaccharides, suggesting that the appearance of enzyme activity during postlarval development does not require the presence of a substrate.",,"Takami, Hideki/0000-0001-5083-8539; Kawamura, Tomohiko/0009-0008-0086-7428",0730-8000,,,DEC,,
"Zhang, SJ; Chen, XY; Shao, ML; Zhang, JJ; Wang, K; Lin, G; Li, MZ",Hepatopancreatic transcriptome profiles reveal the effects of toxic dietary concentrations of selenium on the immunity and growth of juvenile abalone Haliotis discus hannai,2023,AQUACULTURE REPORTS,28,,,,101449,"Selenium (Se) is required for the normal growth and development of aquatic animals. However, excessive Se can have various toxic effects on aquatic animals. In this study, we performed transcriptome analysis to determine the mechanism by which immunity and growth of abalone are affected by toxic dietary concentrations of Se. Four experimental diets were administered to supplement organic Se at concentrations of 0.00 (Control), 0.15 (Se15), 0.30 (Se30), and 0.60 mg/kg (Se60) to provide 0.16 (insufficient), 0.32 (optimal), 0.44 (super nutritional), and 0.60 mg/kg (toxic) Se concentrations in the diet. After feeding for 100 days, the results of the Gene Ontology (GO) analysis showed that the enriched GO terms of differentially expressed genes (DEGs) in the Se15 and Se30 groups were mainly focused on the cellular components, whereas the GO terms enriched in the Se60 group were mainly related to the metabolism of nutrients and the activities of various enzymes. Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis showed that the DEGs of the Se30 group were mainly enriched in various disease pathways, whereas the DEGs of the Se60 treatment were associated with the metabolism of various nutrients. Further analysis of DEGs showed that toxic dietary concentrations of Se decreased the immunity of abalone by affecting the biosynthesis and metabolism pathways of various nutrients. Additionally, toxic dietary concentrations of Se retarded the growth of abalone by decreasing the expression of various genes associated with shell formation, including lustrin A, perlucin, perlustrin, dermatopontin, chitin synthase, and chitinase as well as the genes associated with muscle production, including collagen, myosin heavy chain, myosin essential light chain, and paramyosin. In conclusion, the mechanism of the decrease of immunity and growth of abalone by toxic dietary concentrations of Se has been preliminary revealed in this study.",10.1016/j.aqrep.2022.101449,"Zhang, Shujuan/0009-0005-6326-4657",2352-5134,,,FEB,http://dx.doi.org/10.1016/j.aqrep.2022.101449,
"STEWART, J; SCHULZBALDES, M",LONG-TERM LEAD ACCUMULATION IN ABALONE (HALIOTIS SPP) FED ON LEAD-TREATED BROWN-ALGAE (EGREGIA-LAEVIGATA),1976,MARINE BIOLOGY,36,1,19,24,,"The amount of Pb accumulated in the body of a grazing mollusk by transfer from its algal food in laboratory experiments was assessed, these results were compared with the amounts found in naturally occurring mollusks and seaweed. Near La Jolla, California (USA), where the concentration of Pb in seawater is probably less than 0.08 .mu.g/l, most of the naturally occurring E. laevigata contains less than 0.4 .mu.g Pb/g wet weight. The total body masses, without shells, of juvenile H. rufescens fed on this seaweed for 3-6 mo. showed similar concentrations. When, however, E. laevigata is placed for 1-6 days in seawater to which Pb was added (0.1 or 1.0 mg/l) both the seaweed and the abalone subsequently fed with it accumulate proportionally larger amounts of Pb. After 6 mo., young abalone fed on E. laevigata pretreated with 1.0 mg Pb/l accumulated up to 21 .mu.g Pb/g wet weight. This amount of Pb had no apparent consequences on the growth or activity of the mollusks. Analyses of 6 different organs from adult abalone showed that the Pb was selectively concentrated in the digestive gland. In the foot (muscle tissue), which is the part normally consumed by humans, only negligible amounts were found.",10.1007/BF00388424,,0025-3162,1432-1793,,,http://dx.doi.org/10.1007/BF00388424,
"Currie, KL; Lange, B; Herbert, EW; Harris, JO; Stone, DAJ","Gastrointestinal evacuation time, but not nutrient digestibility, of greenlip abalone, Haliotis laevigata Donovan, is affected by water temperature and age",2015,AQUACULTURE,448,,219,228,,"The effects of water temperature (14, 18, 22 and 26 degrees C) and age (2-y-old, 6.7 g; 3-y-old, 25.7 g) on the gastrointestinal evacuation (GIE) time and apparent nutrient digestibility coefficients (ADC) for greenlip abalone (Haliotis laevigata). GIE time of greenlip abalone was evaluated using a marker diet containing chromic oxide and the total faecal collection technique. Additionally, GIE values were compared from samples collected from abalone that were sampled once only or repeatedly to compare the rigour of each method. GIE time was also assessed using radiography. GIE times were significantly affected by water temperature (P < 0.001) and age (P < 0.05). GIE times decreased for both age classes with increasing temperatures, and the GIE time of 2-y-olds was significantly faster than for 3-y-olds. GIE times never exceeded 60 h. There was no significant effect of either factor on the duration that the marker diet was voided, suggesting that differences in GIE times are due to factors other than the transit of feed through the intestine. Dry matter ADCs were not affected by temperature (P > 0.05) but were affected by age (P < 0.001; 2-y-old <3-y-old). Protein and energy ADCs were not affected by temperature or age. Results may be used to predict purging times and also indicate that further investigations into feeding frequencies are recommended. (C) 2015 Elsevier B.V. All rights reserved.",10.1016/j.aquaculture.2015.01.037,"Harris, James/0000-0002-0997-3015",0044-8486,1873-5622,,Nov-01,http://dx.doi.org/10.1016/j.aquaculture.2015.01.037,
"Ismail, I; Jones, CLW; Britz, PJ; Esterhuizen, AJ",Towards an abalone weaning diet: evaluation of agar-bound fishmeal and spirulina as dietary ingredients,2009,AFRICAN JOURNAL OF MARINE SCIENCE,31,1,103,106,,"Survival of post-settlement abalone when 'weaning' them from diatoms onto macroalgae/artificial feed remains unpredictable for farmers. It is hypothesised that spirulina algae, which are high in protein, may be a suitable feed ingredient for weaning abalone. Over a period of 27 days, the growth and survival of juvenile (4-6 mm shell length) Haliotis midae were compared when weaned from diatoms onto agar-bound, 48% protein diets with either spirulina, fishmeal, or fishmeal and spirulina as the sources of nutrition. Agar-gel alone was used as a control (0% protein) and a commercial abalone diet, Abfeed (R)-S34 (34% protein), was included as a reference. Abalone that were fed fishmeal and spirulina combined performed best in both weight and shell-length gain (36.87 +/- 2.19 mg and 2.29 +/- 0.05 mm). The growth of agar-fed control animals was worst of all treatments (1.26 +/- 2.03 mg and 0.19 +/- 0.14 mm) and had a markedly reduced survival rate (18.6 +/- 5.5%). Growth in abalone that were fed the spirulina only (9.41 +/- 3.39 mg and 0.58 +/- 0.27 mm) was better than the control-fed abalone and was substantially lower than other diet treatments, but not significantly different from them. Abalone that were fed Abfeed (R)-S34 only had a significantly higher condition factor (0.91 +/- 0.02) compared with those fed the control (0.70 +/- 0.09) and the combined diet (0.75 +/- 0.01), and a significantly higher soft-body tissue to shell mass ratio (2.38 +/- 0.14) than those fed spirulina only (1.67 +/- 0.15) or the control (1.05 +/- 0.09). Agar was a suitable medium for binding and presenting dietary ingredients to abalone at weaning, and fishmeal or a fishmeal-spirulina combination provided sufficient protein and energy for good growth and survival. Spirulina as a single-ingredient feed is not recommended.",10.2989/AJMS.2009.31.1.10.781,"Britz, Peter/0000-0002-4436-0425; Jones, Clifford/0000-0001-8394-1890",1814-232X,1814-2338,,APR,http://dx.doi.org/10.2989/AJMS.2009.31.1.10.781,
"Goosen, NJ; De Wet, LF; Görgens, JF",Effects of formic acid in abalone diets that contain ingredients derived from fish processing by-products,2018,AQUACULTURE INTERNATIONAL,26,3,857,868,,"The study aimed to investigate the effects of formic acid inclusion in abalone diets, which contained ingredients produced from fish processing by-products, and to quantify effects on production performance. Four diets (a commercial reference and iso-nutrient diets containing fish silage oil, unprocessed rainbow trout viscera or shrimp protein hydrolysate) were evaluated both with and without addition of 2 g kg(-1) dietary formic acid, thus yielding a total of eight treatments, in feeding trials with cultured South African abalone Haliotis midae. Results indicated that inclusion of unprocessed rainbow trout viscera without formic acid decreased production performance of experimental animals, as evidenced by significantly decreased final animal weight and daily weight gain, and significantly increased feed conversion ratio compared to the iso-nutrient control. The decreased production performance was attributed to decreased feed water stability of the diet incorporating untreated trout viscera. Dietary formic acid supplementation partially mitigated the negative impacts of viscera inclusion on production performance of the experimental animals, as seen in significantly higher final animal weight and daily weight gain, and lower feed conversion ratio when compared to non-formic acid-supplemented, viscera-containing diet. However, no beneficial effects on production performance or water stability were found upon formic acid inclusion in diets not containing trout viscera. In conclusion, dietary formic acid can partially mitigate negative impacts on production performance when unprocessed trout viscera are included in formulated abalone diets by improving feed water stability, but the exact mechanism by which this is achieved was not established.",10.1007/s10499-018-0257-z,"Gorgens, Johann/0000-0002-9961-754X; Goosen, Neill/0000-0001-6484-3478",0967-6120,1573-143X,,JUN,http://dx.doi.org/10.1007/s10499-018-0257-z,
"Xue, R; Yang, DL; Han, YJ; Deng, QY; Wang, X; Liu, XQ; Zhao, JM",14-3-3? and 14-3-3? are involved in innate immune responses in Pacific abalone (Haliotis discus hannai),2021,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,124,,,,104176,"The 14-3-3 proteins play important roles in various cellular processes by binding to different ligands, but little is known about these proteins in mollusks. In this study, two 14-3-3 cDNAs were identified from the Pacific abalone Haliotis discus hannai (designated 14-3-3 zeta and 14-3-3 epsilon), possessing 59.40% identity with each other. Both genes were predominantly expressed in the gills of unchallenged abalones, and their mRNA signals could also be detected in several other tissues, including the mantle, hepatopancreas and ovary. However, after Vibrio harveyi challenge, hemocytes were induced significantly (p < 0.01). Meanwhile, phagocytosis was inhibited, but apoptosis, reactive oxygen species formation, and caspase 3 expression were significantly induced (p < 0.01), and they were all suppressed with 14-3-3 zeta knockdown (p < 0.01). The differences were that silencing 14-3-3 epsilon reverted the decline in the phagocytic rate derived from bacterial infection, while ROS formation was not influenced significantly. In addition, the expression levels of several antimicrobial peptide and proinflammatory cytokine genes were also decreased with the silencing of 14-3-3 genes. However, with the knockdown of 14-3-3 zeta, the expression of 14-3-3 epsilon was further significantly increased (p < 0.01), and vice versa. Overall, our results suggested that 14-3-3 zeta and 14-3-3 epsilon should play important roles in innate immunity against V. harveyi infection.",10.1016/j.dci.2021.104176,"Wang, Xin/0000-0003-3902-9524",0145-305X,1879-0089,,NOV,http://dx.doi.org/10.1016/j.dci.2021.104176,34153282
"Fu, JH; Xu, W; Mai, KS; Zhang, WB; Feng, XN; Liufu, ZG","Effects of dietary menadione on the activity of antioxidant enzymes in abalone, Haliotis discus hannai Ino",2012,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,30,1,118,123,,"A 240-day growth experiment in a re-circulating water system was conducted to investigate the effects of dietary menadione on the growth and antioxidant responses of abalone Haliotis discus hannai Ino. Triplicate groups of juvenile abalone (initial weight: 1.19 +/- 0.01 g; shell length: 19.23 +/- 0.01 mm) were fed to satiation with 3 semi-purified diets containing 0, 10, and 1 000 mg menadione sodium bisulfite (MSB)/kg, respectively. Results show that there were no significant differences in the rate of weight gain or in the daily increment in shell length of abalone among different treatments. Activities of superoxide dismutase (SOD), glutathione peroxidase (GPX), glutathione S-transferase (GST) and glutathione reductase (GR) in viscera were significantly decreased with dietary menadione. However, activities of these enzymes except for GPX in muscle were increased. Therefore, antioxidant responses of abalone were increased in muscle and decreased in viscera by dietary menadione.",10.1007/s00343-012-1014-1,,0254-4059,1993-5005,,JAN,http://dx.doi.org/10.1007/s00343-012-1014-1,
"Lee, SM","Utilization of dietary protein, lipid, and carbohydrate by abalone Haliotis discus hannai:: A review",2004,JOURNAL OF SHELLFISH RESEARCH,23,4,1027,1030,,"Feeding Haliotis discus hannai depends mainly oil the use of macroalgae such as Undaria sp. or Laminaria sp.. although the species is an important mariculture shellfish in Korea. Research oil the utilization of protein, lipid, and carbohydrate in formulated diets by H. discus hannai has been conducted, and the results have been reviewed. H. discus hannai fed a formulated diet showed better growth performance than those fed a macroalgae based-diet. Casein. fish meal, soybean meal. cottonseed meal. and wheat germ meal are all good Sources of dietary protein for H. discus hannai. The optimum dietary lipid content for H. discus hannai is from 2% to 5%. Marine fish oil, for instance squid liver oil, is a good dietary lipid source for H. discus hannai. Oil Supplementation in diets is not necessary when fish meal as main protein Source is used for H. discus hannai diets. Comparative growth rates were observed when H. discus hannai were fed diets containing each of the following carbohydrate sources: wheat flour, dextrin. Sucrose, potato starch. or as a mixture combined with practical ingredients Such as soybean meal, corn gluten meal, cotton seed meal, and wheat flour. These results may be used in developing practical feed formulation and improving aquaculture production of abalone.",,,0730-8000,,,DEC,,
"Stott, AE; Takeuchi, T; Koike, Y",Growth and survival of post-larval abalone haliotis diversicolor supertexta (lischke) using an alternative culture method in the light and dark,2004,JOURNAL OF SHELLFISH RESEARCH,23,4,957,961,,"Stott's Abalone Postlarvae Production System (SAPPS) was developed as an alternative method for settling larvae and raising postlarval abalone. It allows continuous hatchery production of abalone without using live food. The new system was tested in a 28-day trial, both in the dark and light, on Haliotis diversicolor superiexta. Plates were sprayed with a mixture containing commercial, artificial micro particle diet 1 or 2, and a 1% agar solution and assigned a 10-L flow-through tank, either in the dark or light. The four treatments-Diet 1-dark (D1-D), Diet 1-light (D1-L) Diet 2-dark (D2-D), and Diet 2-light (D2-L) were replicated 3 times. The chemical composition of the two diets was similar although lipids were 21.05% in diet 1 compared with 13.74% in diet 2. Final survival was not significantly different (P > 0.05) among the treatments and ranged from 14.8% to 31.4%. The variable results for larval settlement and low postlarval Survival in the first week was most likely due to unsatisfactory preconditioning of plastic plates with juvenile abalone trail mucus or weak settlement induction of this mucus. Although the light/dark factor was not significantly different (P > 0.05), abalone postlarvae fed diet type 2 (D2-D and D2-L) were significantly larger (P < 0.05) than those fed diet type 1 (D1-D and D1-L). The average growth rate per day was 43 +/- 4 mu m, 44 +/- 5 mu m. 51 +/- 4 mu m, and 53 +/- 4 mu m for D1-D D1-L. D2-D, and D2-L respectively. Diet 2 may have been more nutritionally complete than diet 1. SAPPS was used successfully in this trial to culture H. diversicolor supertexta postlarvae, regardless of light and natural food.",,,0730-8000,1943-6319,,DEC,,
