Authors,Title,Year,Source.Title,Volume,Issue,Start.Page,End.Page,Article.Number,Abstract,DOI
"Shao, JP; Tian, X; Ying, B",Dynamic changes of total bacteria and Vibrio in an integrated seaweed-abalone culture system,2006,AQUACULTURE,252,2-Apr,289,297,,"Polyculture of seaweeds alongside fed animal aquaculture is an environmentally friendly means of avoiding eutrophication problem both in land-based and sea-based monoculture systems. Many aspects of such polyculture systems have been described, but little attention has been given to the impact of live seaweeds on the microbiological properties of the water that connects the algae and animals. In this investigation, the Pacific red alga Gracilaria textorii was cultured in a recirculated dual tank system (150 L) with the juvenile abalone Haliotis discus hannai. Dynamic changes of total bacteria (TB) and total Vibrio (TV) in the water of polyculture and monoculture systems were evaluated. Results revealed that (1) level of TB in the polyculture was constantly higher than in the monoculture over a 6.5-day period. While levels of TV in the polyculture was detected to be constantly lower than in the monoculture, (2) integration of G. textorii in the abalone culture changed the Vibrio compositions in the water as judged by the changes of bacteria colony types; (3) application of artificial diet led to dramatic increase of the levels in TB and TV in both systems at 12 h after application in the 24-h test and resulted in selective propagation of Vibrio in the water in the monoculture system; (4) polyculture of G. textorii with juvenile abalone in combination with feeding with live algal diet helped to maintain low levels of TV and the balance of the Vibrio composition; (5) living biomass of G. textorii was effective in preventing propagation of two purified Vibrio strains (V alginolaticus and V logei) in the water. These results provide a general basis of the dynamic changes of levels in TB and TV in a seaweed-abalone polyculture system with or without artificial diet in tanks. (c) 2005 Elsevier B.V All rights reserved.",10.1016/j.aquaculture.2005.06.050
"De Zoysa, M; Kang, HS; Song, YB; Jee, Y; Lee, YD; Lee, J","First report of invertebrate Mx:: Cloning, characterization and expression analysis of Mx cDNA in disk abalone (Haliotis discus discus)",2007,FISH & SHELLFISH IMMUNOLOGY,23,1,86,96,,"Myxovirus resistance (Mx) protein is one of the most studied antiviral proteins. It is induced by the type I interferon system (IFN alpha/beta) in various vertebrates, but its expression has not been identified or characterized in mollusks or other multi-cellular invertebrates to date. In this study, we isolated the Mx gene from a disk abalone (Haliotis discus discus) normalized cDNA library. Mx cDNA was sequenced, cloned and compared to other known Mx proteins. The full-length 1664 bp of abalone Mx cDNA contained a 1533-bp open reading frame that codes for 511 amino acids. Within the coding sequence of abalone Mx, characteristic features were found, such as a tripartite guanosine-5'-triphosphate (GTP)-binding motif and a dynamin family signature. In addition, leucine residues in the C-terminal region displayed a special leucine domain at L-468, L-475, L-489 and L-510, suggesting that abalone Mx may have a similar oligomerization function as other leucine zipper motifs. Abalone Mx protein exhibited 44% amino acid similarity with channel catfish Mx1, rainbow trout Mx2 and Atlantic halibut Mx. Abalones were injected intramuscularly with the known IFN inducer poly I:C and RT-PCR was performed for Mx mRNA analysis. The results showed enhanced Mx expression in abalone gill and digestive tissues 24 h as well as 48 h after injection of poly I:C. Mx mRNA was expressed in gill, digestive gland, mantle and foot tissues in healthy abalone, suggesting that the basal level of Mx expressed is tissue-specific. There is no known Mx protein closely related to abalone Mx according to phylogenetic analysis. Abalone Mx may have diverged from a common gene ancestor of fish and mammalian Mx proteins, since abalone Mx showed high similarity in terms of conserved tripartite GTP-binding, dynamin family signature motifs and poly I:C enhancement of Mx mRNA expression. (c) 2006 Elsevier Ltd. All rights reserved.",10.1016/j.fsi.2006.09.007
"Pearson, W; Orth, MW; Karrow, NA; Lindinger, MI",Effects of simulated digests of Biota orientalis and a dietary nutraceutical on interleukin-1-induced inflammatory responses in cartilage explants,2008,AMERICAN JOURNAL OF VETERINARY RESEARCH,69,12,1560,1568,,"Objective-To test the hypothesis that simulated digests of Biota orientalis (BO) and a dietary nutraceutical (DN; composed of mussel, shark cartilage, abalone, and BO seed lipid extract) inhibit prostaglandin E-2 (PGE(2)), nitric oxide (NO), and glycosaminoglycan (GAG) production duction in interleukin (IL)-1-stimulated cartilage explants. Sample Population-Cartilage tissue from 12 pigs. Procedures-Articular cartilage explants were conditioned with a simulated digest of BO (BOsim) or DN (DNsim) at concentrations of 0, 0.06, or 0.18 mg/mL or indomethacin ONDOsim; 0 or 0.02 mg/mL) for 72 hours. Control explants received digest vehicle only. Explants were or were not stimulated with recombinant human-IL-1 beta (10 or 0 ng/mL) during the final 48 hours of culture. Concentrations of PGE(2), GAG and NO in media samples (mPGE(2), mGAG, and mNO concentrations, respectively) were analyzed, and explant tissue was stained fluorochromatically to determine chondrocyte viability. Treatment effects during the final 48-hour culture period were analyzed. Results-IL-1 increased mPGE(2), mGAG, and mNO concentrations in control explants with-out adversely affecting cell viability. Treatment with INDOsim blocked PGE(2) production and increased mNO concentration in IL-1-stimulated and unstimulated explants and increased mGAG concentration in unstimulated explants. Treatment with DNsim (0.06 and 0.18 mg/mL) reduced mPGE(2) concentration in IL-1-stimulated and unstimulated explants, reduced mNO,2 concentration in IL-1-stimulated explants, and increased mNO concentration in unstimulated explants. Treatment with 0.18 mg of DNsim/mL increased cell viability in the presence of IL-1. In IL-1-stimulated explants, BOsim (0.06 and 0.18 mg/mL) reduced mPGE(2) concentration, but 0.18 mg of BOsim/mL increased cell viability. Conclusions and Clinical Relevance-Effects of IL-1 on cartilage explants in vitro were modulated by DNsim and BOsim. (Am J Vet Res 2008;69:1560-1568)",10.2460/ajvr.69.12.1560
"Jin, SE; Lee, SJ; Park, CY",Mass-produced Spirulina-mediated altered responses in ARPE-19 and HaCaT cells for biomedical applications,2022,FOOD AND BIOPRODUCTS PROCESSING,131,,102,108,,"Spirulina has been highlighted for potential health benefits based on its therapeutic functions. In the present study, the physicochemical characteristics and effects of Spirulina on ARPE-19 and HaCaT cells were monitored after mass-production, compared with conventional product. Gene ontology (GO) was analyzed using systems biology network that accounted for the function of Spirulina in human health. Spirulina powder had a smooth surface with adsorbing particles and contained sodium, magnesium, and potassium. Spirulina powder extracts in 0.1 x PBS, 0.1 M HEPES, 0.1 M NaCl, ethanol, isopropyl alcohol, and acetonitrile showed broad absorbance peaks at 300-450 and 500-700 nm. In ARPE-19 and HaCaT cells, Spirulina powder in PBS displayed proliferation at 2-20 mg/mL and 2 mg/mL, respectively. Cell viability levels of HaCaT cells were almost higher than 90% at 0.1-20 mg/mL. Despite cell susceptibility, phycocyanin, which is a component of Spirulina, helped maintain consistency of cell responses with Spirulina. Spirulina functions were explained by GO-terms, mainly binding, cellular process, and cell in the network, in terms of anti-oxidant activity. Mass-produced Spirulina powder can be developed as a high-value nutraceutical for therapeutic applications in clinics. This protocol can be extended to other materials for biomedical applications. (c) 2021 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.",10.1016/j.fbp.2021.11.004
"Strain, EMA; Johnson, CR","Competition between an invasive urchin and commercially fished abalone: effect on body condition, reproduction and survivorship",2009,MARINE ECOLOGY PROGRESS SERIES,377,,169,182,,"Incursion of the urchin Centrostephanus rodgersii into Tasmania, Australia, and its establishment at high densities raises questions about its potential interactions with another large herbivore on subtidal rocky reefs, the commercially fished abalone Haliotis rubra. Surveys on the southeast coast of Australia show a negative relationship between densities of C. rodgersii and H. rubra at several spatial scales, suggesting negative interactions. In intact algal beds, we used enclosures to estimate the effects and relative magnitude of intra- and interspecific competition on the body condition, gonad development and survival of C. rodgersii and H. rubra. An increased density of conspecifics led to declines in the dry gonad weight of C. rodgersii and in the dry foot and stomach content weights of H. rubra. The effects of interspecific competition were asymmetrical. Manipulations of H. rubra densities had no detectable effect on C. rodgersii. In contrast, in enclosures with added C. rodgersii, H. rubra showed reduced total and dry weights of stomach contents and increased mortality relative to controls without urchins. The effects of C. rodgersii on H. rubra could be linked to differences in feeding habits and morphology. C. rodgersii is a generalist herbivore, which, even at low densities, reduced the cover and standing biomass of total, brown and red algae relative to controls without urchins. In contrast, H. rubra is a specialist herbivore, which, even at high densities, had little effect on the cover and standing biomass of algae relative to the effect of C. rodgersii. This study suggests that the invader C. rodgersii is the superior competitor in interactions with H. rubra, and that its presence, even at low densities, affects the abalone fishery.",10.3354/meps07816
"Jung, JW; Dittrich, M; Kim, JK; Umanzor, S",Cost-effective nutrient supplementation strategies for land-based cultivation of Devaleraea mollis and Palmaria hecatensis,2025,JOURNAL OF APPLIED PHYCOLOGY,,,,,,"Devaleraea mollis and Palmaria hecatensis have emerged as potential species for land-based cultivation of red seaweeds in the Pacific Northwest of the United States. Land-based cultivation has the advantage of customization of high-quality biomass production. However, the high material and preparation costs of traditionally used enrichment media are a limitation of land-based cultivation of D. mollis and P. hecatensis. This study explores ways to reduce operational and management costs associated with controlling the culturing conditions of D. mollis and P. hecatensis without compromising biomass growth and quality in land-based tank cultivation systems. Five experimental treatments, 1) ambient seawater (AS); 2) von Stosch enrichment medium (VSE); 3) Guillard's f/2 medium (f/2); 4) commercial fertilizer, Jack's Special (JS); 5) JS with vitamin (JSV), were used in the present study. Growth rates, pigment, and protein content of D. mollis and P. hecatensis were measured. D. mollis showed faster growth rates than P. hecatensis, indicating that the former is more economically suitable for land-based cultivation based on this parameter alone. Growth and protein content of D. mollis exposed to VSE decreased due to insufficient nitrogen in the tissue. However, the protein content of D. mollis exposed to JS and JSV significantly increased without a decrease in growth. Palmaria hecatensis showed similar growth, pigment, and protein content regardless of the treatment, except in AS. Therefore, the commercial fertilizer, Jack's Special (25-5-15), can replace the VSE for D. mollis and P. hecatensis, reducing operational and management costs linked to nutrient supplementation.",10.1007/s10811-025-03480-6
"Kwon, YH; Kim, JA; Park, YS; Kim, JH; Choi, CY",Effects of red-light irradiation and melatonininjection on the antioxidant capacity and occurrence of apoptosis in abalones (Haliotis discus hannai) subjected to thermal stress,2024,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,296,,,,111689,"High ocean temperatures caused by global warming induce oxidative stress in aquatic organisms. Melatonin treatment and irradiation using red light-emitting diodes (LEDs) have been reported to reduce oxidative stress in a few aquatic organisms. However, the effects of red LED irradiation and melatonin injection on the antioxidant capacity and degree of apoptosis in abalones, which are nocturnal organisms, have not yet been reported. In this study, we compared the expression levels of antioxidant enzymes, total antioxidant capacity, and the degree of apoptosis in abalones subjected to red LED irradiation and melatonin treatment. The results revealed that at high water temperatures (25 degrees C), the mRNA expression levels of the superoxide dismutase (SOD) and glutathione peroxidase (GPx) genes and the antioxidant activity of SOD decreased in abalones in the red-LED irradiated and melatonin-treated groups compared with those in abalones in the control group. Although high water temperatures induced DNA damage in the abalone samples, the degree of apoptosis was lower in the red-LED irradiated and melatonin-treated groups than in the control group. Overall, the abalones in the melatonin-treated and redLED irradiated groups showed reduced oxidative stress and increased antioxidant enzyme levels under thermal stress compared with those in the control group. Therefore, red LED irradiation is a promising alternative to melatonin treatment, which is difficult to administer continuously for a long time, for protecting abalones from oxidative stress.",10.1016/j.cbpa.2024.111689
"Andrews, AH; Leaf, RT; Rogers-Bennett, L; Neuman, M; Hawk, H; Cailliet, GM","Bomb radiocarbon dating of the endangered white abalone (Haliotis sorenseni): investigations of age, growth and lifespan",2013,MARINE AND FRESHWATER RESEARCH,64,11,1029,1039,,"Understanding basic life-history characteristics of white abalone (Haliotis sorenseni), such as estimated lifespan, is critical to making informed decisions regarding the recovery of this endangered species. All predictive modelling tools used to forecast the status and health of populations following restoration activities depend on a validated estimate of adult lifespan. Of the seven Haliotis species in California, white abalone is considered to have the highest extinction risk and was the first marine invertebrate listed as an endangered species under the Federal Endangered Species Act (ESA). Lifespan was previously estimated from observations of early growth; however, no study has generated ages for the largest white abalone. To address questions of age and growth, bomb radiocarbon (C-14) dating was used on shells from large white abalone. Measured bomb C-14 levels were compared to regional C-14 reference records to provide estimates of age, growth and lifespan. Bomb radiocarbon dating indicated that growth was variable among individuals, with a maximum estimated age of 27 years. The findings presented here provide support for previous age and growth estimates and an estimated lifespan near 30 years. These age data support the perception of a critical need for restoring the remnant aging and potentially senescent population.",10.1071/MF13007
"Pechenik, JA; Qian, PY",Onset and maintenance of metamorphic competence in the marine polychaete Hydroides elegans Haswell in response to three chemical cues,1998,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,226,1,51,74,,"This study documents the order in which larvae of the tube-dwelling polychaete Hydroides elegans Haswell become competent to metamorphose in response to three substances: 30 mM excess K+ in seawater, the cyclic nucleotide phosphodiesterase inhibitor 3-isobutyl-1-methylxanthine (IBMX) at 10(-4) M in seawater, and a water-soluble homogenate of adults and their tubes. Four experiments were conducted, three at 25 degrees C and one at 20 degrees C, typically with 10-13 larvae per replicate and five replicates per treatment. Each assay lasted 48 h. Larvae typically became responsive to IBMX at least 24 h before they became responsive to adult homogenate and were always slowest to become responsive to excess K+, suggesting that IBMX acts downstream from the sites at which the other cues operate and that the upstream sites become operational later in development. Competent larvae also responded far more quickly to IBMX - usually within 6-8 h - than to the other cues. Excess K+ and cues associated with adult homogenate may take longer (24-48 h) to penetrate to their sites of action. Alternatively, IBMX may stimulate metamorphosis directly, possibly by increasing intracellular concentrations of cAMP, cGMP, or Ca2+, while the other tested substances may act instead to turn off production of an inhibitory factor, which must then degrade before metamorphosis can occur. In three additional experiments, competent larvae remained responsive to all three inducers during 3-4 days of starvation, indicating that the metamorphic pathway of H. elegans, once developed, is not readily degraded even under severe nutritional stress. (C) 1998 Elsevier Science B.V.",10.1016/S0022-0981(97)00237-2
"Ge, H; Wang, GD; Zhang, LL; Zhang, ZP; Wang, SH; Zou, ZH; Yan, SF; Wang, YL","Molecular cloning and expression of interleukin-1 receptor-associated kinase 4, an important mediator of Toll-like receptor signal pathway, from small abalone Haliotis diversicolor",2011,FISH & SHELLFISH IMMUNOLOGY,30,4-May,1138,1146,,"Mammal interleukin-1 receptor-associated kinases (IRAKs) have been demonstrated to play important functions in TLRs (Toll-like receptor) signal pathway and T cell proliferation, but there is less knowledge available on mollusc IRAKs. In this study, a molluscan IRAK-4 gene, saIRAK-4, was cloned for the first time from the small abalone (Haliotis diversicolor). Its full-length cDNA sequence was 2062 bp, with a 1548 bp open reading frame encoding a protein of 516 aa. The molecular mass of the deduced protein was approximately 57.8 kDa with an estimated pI of 5.23, and showed highest identity (47%) to acorn worm Saccoglossus kowalevskii. Amino acid sequence analysis revealed saIRAK-4 shares conserved signature motifs with other IRAK-4 proteins, including the death domain (DD), serine/threonine/tyrosine protein kinase domain (STYKc), protein kinases ATP-binding region signature, serine/threonine protein kinases active-site signature and prokaryotic membrane lipoprotein lipid attachment site. Quantitative real-time PCR was employed to investigate the tissue distribution of saIRAK-4 mRNA, and its expression in abalone under bacteria challenge and larvae at different developmental stages. The 5aIRAK-4 mRNA could be detected in all examined tissues, with the highest expression level in gills, and was up-regulated in hemocytes and gills after bacteria injection. Additionally, 5aIRAK-4 was constitutively expressed at all examined developmental stages. These results indicate that saIRAK-4 could respond to pathogenic infection and may play an important role in the adult abalone immune system and early innate immunity in the process of abalone larval development. (C) 2011 Published by Elsevier Ltd.",10.1016/j.fsi.2011.02.018
"Venugopal, V; Gopakumar, K","Shellfish: Nutritive Value, Health Benefits, and Consumer Safety",2017,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,16,6,1219,1242,,"Shellfish is a major component of global seafood production. Specific items include shrimp, lobsters, oysters, mussels, scallops, clams, crabs, krill, crayfish, squid, cuttlefish, snails, abalone, and others. Shellfish, in general, contain appreciable quantities of digestible proteins, essential amino acids, bioactive peptides, long-chain polyunsaturated fatty acids, astaxanthin and other carotenoids, vitamin B-12 and other vitamins, minerals, including copper, zinc, inorganic phosphate, sodium, potassium, selenium, iodine, and also other nutrients, which offer a variety of health benefits to the consumer. Although shellfish are generally safe for consumption, their exposure to diverse habitats, the filter feeding nature of shellfish such as oysters, clams, and mussels, and unhealthy farming and handling practices may occasionally entail health risks because of possible presence of various hazards. These hazards include pathogenic organisms, parasites, biotoxins, industrial and environmental pollutants, heavy metals, process-related additives such as antibiotics and bisulfite, and also presence of allergy-causing compounds in their bodies. Most of the hazards can be addressed by appropriate preventive measures at various stages of harvesting, farming, processing, storage, distribution, and consumption. Furthermore, consumer safety of shellfish and other seafood items is strictly monitored by international, governmental, and local public health organizations. This article highlights the nutritional value and health benefits of shellfish items and points out the various control measures to safeguard consumer safety with respect to the products.",10.1111/1541-4337.12312
