Column name,Data type,Responses,Justification
probiotic,String (text),NA,"Species of probiotic for articles where intervention_category = probiotic. Where intervention_category does not equal probiotic, cell is left blank."
mineral,String (text),NA,"Mineral type for articles where intervention_category = mineral. Where intervention_category does not equal mineral, cell is left blank."
vitamin,Categorical,vitamin A,Where vitamin type is vitamin A for for articles where intervention_category = vitamin
,,vitamin B,Where vitamin type is vitamin B for for articles where intervention_category = vitamin
,,vitamin C,Where vitamin type is vitamin Cfor for articles where intervention_category = vitamin
,,vitamin D,Where vitamin type is vitamin D for for articles where intervention_category = vitamin
,,vitamin E,Where vitamin type is vitamin E for for articles where intervention_category = vitamin
,,vitamin K,Where vitamin type is vitamin K for for articles where intervention_category = vitamin
,,blank,Where intervention_category does not equal vitamin.
algal_species,String (text),NA,"Species of algal meal for articles where intervention_category = algal and/or diatom meal OR algal and/or diatom extract. Where intervention_category does not equal either category, cell is left blank."
multiple_inclusion_levels,Categorical,Yes,Multiple inclusion levels or doses of the supplements have been investigated.
,,No,Only a single dose or inclusion level of the supplement has been investigated.
control_diet,Categorical,No supplement,The control diet does not contain the dietary supplement under investigation.
,,Reference levels of supplement,the control diet contains the supplement at a “reference” level which reflects concentrations naturally occurring within raw ingredients.
,,Not specified / unknown,"It cannot be discerned if the control diet either does not contain, or contains reference levels of the supplement."
outcome_comment,String (text),NA,List of outcomes reported within the defined category.
outcome_category,Categorical,Antioxidant activity / oxidants,"Any measure of antioxidant and/or oxidant activity or quantity (e.g. serum catalase and/or malondialdehyde). This excludes any instance where oxidants or antioxidants are measured by gene expression (see ""Gene expression"")."
,,Body colour,Any measure of body colour collected from any part of the body.
,,Detachment,Any test where the endpoint is measured as detachment of the abalone from the tank or relevant substrate (e.g. heat adhesion studies).
,,Digestive enzymes,"Any measure of enzymes responsible for the breakdown of feed components (e.g. lipase and/or trypsin activity). This excludes any instance where enzyme activity is measured by gene expression (see ""Gene expression"")"
,,Enzyme activity (other),"Any measure of enzyme activity which is not otherwise defined by another listed category.
"
,,Feed behaviour,"Any observation or measurement of how the abalone interacts with feed (e.g. feed intake, palatability and/or meal acceptance)."
,,Gene expression,Any measure of transcriptional activity of genes.
,,Growth performance,"Any outcome which measures the growth of the abalone (e.g. weight gain, feed conversion ratio and/or shell length gain)."
,,Histology,Any measure or description reported through observation of histopathology.
,,Innate immunity,Any measure of innate immune activity (e.g. total hemocyte counts and/or phagocytic activity).
,,Metabolic performance,Any measurement of respiratory activity and/or waste production (e.g. oxygen intake and/or nitrogen excretion).
,,Metabolomics,Any measurement of small molecules (metabolites) within abalone cells or tissues.
,,Microbiota,"Any measurement of the diversity, quantity or species of bacteria within abalone tissue. This excludes instances where pathogenic species are targeted (see ""Pathogen load"")."
,,Nutrient assimilation or digestibility,"Any measure which investigates assimilation, uptake or utilisation of feed nutrients (e.g. abalone muscle composition, digestibility coefficients and/or protein deposition)."
,,Pathogen load,Any measurement which qunatifies or identifies pathogens within abalone tissue.
,,Sensory attribute/s,"Any measure of perceptible, product quality attribute (e.g. flavour compounds, texture, smell)."
,,Survival ,Survival of abalone.
,,Other,Any other outcome measure which does not fit definitions of the above categories but could reasonably be considered a measure of biological performance.
repeated_measures,Categorical,Yes,Atleast one outcome measure has been collected / reported more than once for the same cohort. 
,,No,All outcome measures are collected / reported for a single time point. 
study_conditions,Categorical,Basal,"The study assesses performance or physiological response under normal, non-stressful conditions, which are intended to reflect “optimal” husbandry."
,,Challenge,The experiment manipulates the environment to test the animals' tolerance and resilience under suboptimal conditions.
challenge_category,Categorical,Air challenge,Any challenge conditions which expose abalone to air. 
,,Bacteria challenge,Any challenge conditions which expose abalone to pathogenic bacteria species.
,,Salinity challenge,Any challenge conditions which expose abalone to sub-optimum salinity levels. The article must disclose that the salinity is considered a challenge condition.
,,Thermal challenge,Any challenge conditions which expose abalone to sub-optimum water temperatures. The article must disclose that the water temperature is considered a challenge condition.
,,Other,Any other condition which does not fit definitions of the above categories but could reasonably be considered a challenge condition.
Notes,String (text),NA,Any relevant note.
